fold,family,P_macro,R_macro,F1_macro
1,Users,0.6992481203007519,0.6948529411764706,0.6944444444444444
1,Message,0.6428571428571428,0.6323529411764706,0.6278195488721805
1,Fusion,0.788888888888889,0.7867647058823529,0.7870967741935484
2,Users,0.7,0.6875,0.6825396825396826
2,Message,0.3268398268398268,0.34375,0.32732732732732733
2,Fusion,0.4676113360323887,0.46875,0.464039408866995
3,Users,0.4199134199134199,0.4274509803921569,0.41700404858299595
3,Message,0.5912698412698413,0.5901960784313726,0.5901477832512315
3,Fusion,0.43529411764705883,0.43529411764705883,0.43529411764705883
4,Users,0.6227272727272727,0.6058823529411765,0.5835835835835836
4,Message,0.5019607843137255,0.5019607843137255,0.5
4,Fusion,0.5708502024291497,0.5686274509803921,0.5607843137254902
5,Users,0.696969696969697,0.6784313725490196,0.6761133603238867
5,Message,0.4007936507936508,0.4019607843137255,0.4009852216748768
5,Fusion,0.5916666666666667,0.5862745098039216,0.5835835835835836
