family,P_macro_mean,P_macro_std,R_macro_mean,R_macro_std,F1_macro_mean,F1_macro_std
Users,0.6277717019822283,0.12077321682763414,0.6188235294117648,0.11273968976798347,0.6107370238949186,0.1169469906114909
Message,0.4927442492148374,0.13067642055884107,0.4940441176470588,0.1219680961532103,0.4892559762251233,0.1260030434943145
Fusion,0.5708622423328306,0.13875149450364632,0.569142156862745,0.1375202158254159,0.5661596396033353,0.13847385290695302
