Unnamed: 0,username,LABEL,processed,user_found,error,user_id,verified,account_age_days,followers_count,following_count,tweet_count_total,follower_following_ratio,tweets_fetched,fraction_retweets,fraction_with_urls,fraction_with_media,avg_tweet_length,avg_sentiment,tweets_per_week,domain_diversity,network_clustering_coefficient,mutual_followers_with_misinfo_spreaders,interaction_with_bots,inferred_political_leaning,personality_big_five,cognitive_reflection_score,avg_exclamation_count,liwc_categories,topic_distribution,image_content_descriptors,image_forensic_signals
30,accurateled,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
31,acq145,unreliable,True,True,,2542460234.0,False,3961.0,16.0,225.0,90.0,0.0711111111111111,87.0,0.4712643678160919,0.5172413793103449,0.2183908045977011,101.64367816091954,0.1310388366422849,0.1537490532693764,0.3333333333333333,,,,,,,,,,,
32,AdamTillery777,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Aditya4u53,unreliable,True,True,,2594967686.0,False,3934.0,202.0,255.0,297.0,0.792156862745098,99.0,0.1717171717171717,0.2323232323232323,0.1414141414141414,134.9090909090909,0.0512111149232361,0.1761565836298932,0.2608695652173913,,,,,,,,,,,
34,adjustMyEbitda,unreliable,True,True,,1.0531037600656056e+18,False,2362.0,508.0,350.0,5095.0,1.4514285714285715,100.0,0.05,0.2,0.11,123.99,0.0499563822751322,0.296359017781541,0.15,,,,,,,,,,,
35,AdrianN62729285,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
36,adrielodell,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Airlock49,unreliable,True,True,,8.628541965671793e+17,False,2887.0,17.0,116.0,127.0,0.146551724137931,99.0,0.5656565656565656,0.6565656565656566,0.303030303030303,104.07070707070709,0.0968059269574421,0.2400415656390717,0.3384615384615385,,,,,,,,,,,
38,AJP78,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
39,akram121,unreliable,True,True,,132800621.0,False,5472.0,9.0,413.0,945.0,0.0217917675544794,97.0,0.9278350515463918,0.4123711340206185,0.2268041237113402,119.8659793814433,-0.0476235820307985,0.1240862573099415,0.2,,,,,,,,,,,
40,al_da_drone,unreliable,True,True,,9.713972249650708e+17,False,2587.0,383.0,322.0,20385.0,1.18944099378882,100.0,0.01,0.24,0.04,90.27,0.0986090909090909,0.2705836876691148,0.1666666666666666,,,,,,,,,,,
41,AlawhiBuyondo,unreliable,True,True,,8.507227159799849e+17,False,2920.0,282.0,20.0,2475.0,14.1,100.0,0.96,0.34,0.25,117.55,0.1400283189033189,0.2397260273972602,0.1176470588235294,,,,,,,,,,,
42,albertoo13,unreliable,True,True,,143996928.0,False,5441.0,57.0,327.0,2211.0,0.1743119266055046,97.0,0.4639175257731959,0.7422680412371134,0.3402061855670103,89.20618556701031,0.0030927835051546,0.1247932365374012,0.0555555555555555,,,,,,,,,,,
43,albertshaffer,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ALefevbre,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Aleks_Atanasov,unreliable,True,True,,36642755.0,False,5820.0,281.0,553.0,4582.0,0.5081374321880651,100.0,0.57,0.4,0.4,87.15,0.0545690476190476,0.120274914089347,0.05,,,,,,,,,,,
46,aletoromejia,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
47,aletseprz,unreliable,True,True,,2946971848.0,False,3752.0,47.0,393.0,8422.0,0.1195928753180661,0.0,,,,,,,,,,,,,,,,,,
48,AlexLary1,unreliable,True,True,,386276609.0,False,4931.0,1601.0,1712.0,14835.0,0.9351635514018692,100.0,0.16,0.24,0.2,59.13,0.1099035894660894,0.1419590346785642,0.125,,,,,,,,,,,
49,AlexndrWyatt,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Alexpuppy5,unreliable,True,True,,9.094357351738244e+17,False,2758.0,393.0,2052.0,18639.0,0.1915204678362573,99.0,0.9292929292929292,0.6161616161616161,0.5555555555555556,90.94949494949496,0.0350607921820043,0.2512690355329949,0.0327868852459016,,,,,,,,,,,
51,AlhouthiAhmed,unreliable,True,True,,1.5118014363797545e+18,False,1096.0,6690.0,612.0,928.0,10.931372549019608,100.0,0.26,0.31,0.08,139.27,0.0349905303030303,0.6386861313868613,0.2258064516129032,,,,,,,,,,,
52,Aliensalsa,unreliable,True,True,,212507476.0,False,5266.0,292.0,1357.0,3298.0,0.21518054532056,98.0,0.0816326530612244,0.3061224489795918,0.2857142857142857,87.94897959183673,0.1010796374826987,0.1302696543866312,0.1,,,,,,,,,,,
53,AlienZabduct,unreliable,True,True,,200124481.0,False,5294.0,57.0,211.0,564.0,0.2701421800947867,97.0,0.3711340206185567,0.1752577319587628,0.1134020618556701,105.89690721649484,0.0441654486693146,0.1282584057423498,0.2352941176470588,,,,,,,,,,,
54,alikhan0342,unreliable,True,True,,1.396764103486722e+18,False,1414.0,3.0,21.0,44.0,0.1428571428571428,44.0,0.0227272727272727,0.0909090909090909,0.0909090909090909,38.59090909090909,0.0668560606060606,0.2178217821782178,0.25,,,,,,,,,,,
55,alkaiibser1544,unreliable,True,True,,1525055766.0,False,4311.0,558.0,389.0,47714.0,1.4344473007712082,97.0,0.9484536082474226,0.2268041237113402,0.1546391752577319,103.81443298969072,0.1081052656535903,0.1575040593829738,0.2272727272727272,,,,,,,,,,,
56,Allx777,unreliable,True,True,,3820294094.0,False,3469.0,51.0,135.0,1002.0,0.3777777777777777,95.0,0.8105263157894737,0.5789473684210527,0.5052631578947369,98.87368421052632,0.0145802005012531,0.1916978956471605,0.0909090909090909,,,,,,,,,,,
57,almafidelinna,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Alx_th,unreliable,True,True,,223519721.0,False,5235.0,142.0,516.0,8951.0,0.2751937984496124,100.0,0.0,0.25,0.25,72.37,-0.0165121212121212,0.1337153772683858,0.04,,,,,,,,,,,
59,Ambamama,unreliable,True,True,,28096338.0,False,5849.0,100.0,786.0,2347.0,0.1272264631043257,99.0,0.494949494949495,0.1111111111111111,0.0606060606060606,149.17171717171718,0.0860904876949249,0.118481791759275,0.2727272727272727,,,,,,,,,,,
60,amh8370,unreliable,True,True,,1923237372.0,False,4205.0,273.0,468.0,5626.0,0.5833333333333334,93.0,0.4086021505376344,0.1935483870967742,0.0967741935483871,101.04301075268818,0.0543298771121351,0.1548156956004756,0.3333333333333333,,,,,,,,,,,
61,amunshi16,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
62,andras291,unreliable,True,True,,869514295.0,False,4563.0,277.0,235.0,5418.0,1.1787234042553192,100.0,0.99,0.8,0.8,76.46,0.1330808441558441,0.153407845715538,0.025,,,,,,,,,,,
63,andraz313,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
64,AndrewMoynihan2,unreliable,True,True,,470531804.0,False,4824.0,446.0,1471.0,14455.0,0.3031951053704962,100.0,0.68,0.17,0.1,121.84,0.0050307539682539,0.1451077943615257,0.1176470588235294,,,,,,,,,,,
