fold,family,P,R,F1
1,MLP-Users,0.58125,0.5804953560371517,0.5804195804195804
2,MLP-Users,0.7324414715719063,0.7151702786377709,0.7142857142857142
3,MLP-Users,0.7389162561576355,0.6501547987616099,0.625
4,MLP-Users,0.5572755417956656,0.5572755417956656,0.5555555555555556
5,MLP-Users,0.5952380952380952,0.5921052631578947,0.5916666666666667
