fold,cluster,drop_F1
2,70,0.06477732793522267
2,37,0.07907301410023732
2,185,0.10720012701436848
2,129,0.051924683503630886
2,111,0.051924683503630886
2,146,0.07389554418416894
2,171,0.02561265719160455
2,163,0.051924683503630886
2,199,0.01601882690811912
2,141,0.02561265719160455
2,92,0.051924683503630886
2,127,0.051924683503630886
2,1,0.051924683503630886
2,15,0.051924683503630886
2,189,0.051924683503630886
2,7,0.01601882690811912
2,18,0.051924683503630886
2,29,0.051924683503630886
2,113,0.051924683503630886
2,102,0.051924683503630886
