cluster,saliency_mean,saliency_std,n_folds,saliency_sum
70,26.582263649464586,14.46641322615166,5,132.91131824732292
37,24.865538053622004,12.065118324594767,5,124.32769026811002
185,23.95786613137461,12.879156654508932,5,119.78933065687306
129,21.749629500845913,10.785544985624632,5,108.74814750422956
111,19.13176318265032,8.366243795902951,5,95.6588159132516
146,16.756113665597514,10.059113607032868,5,83.78056832798757
171,10.647807294246741,4.926354596846073,5,53.2390364712337
199,10.257733304938302,6.726370051988698,5,51.28866652469151
15,8.330965290637687,5.253165513224793,5,41.654826453188434
92,7.185122892772779,3.361331193935603,5,35.925614463863894
1,6.659699573903344,4.310733267930395,5,33.29849786951672
127,5.486824301024899,3.1039310361566352,5,27.434121505124494
163,4.921975191833917,3.8353290527123947,5,24.609875959169585
18,4.844208080787212,2.2412566942432406,5,24.22104040393606
7,4.54386697835289,4.094610361624755,5,22.719334891764447
29,4.471924914082047,2.283188099426669,5,22.359624570410233
93,4.334589635953307,3.38940509494187,5,21.672948179766536
113,4.20748261907138,2.42705195109027,5,21.037413095356897
40,4.192658703704365,2.6136798223466844,5,20.963293518521823
76,3.8601287095807493,2.83975653754734,5,19.300643547903746
39,3.829376665665768,1.901716241579554,5,19.14688332832884
75,3.7688957194564865,3.4034156593885205,5,18.844478597282432
189,3.625860044977162,2.69445306094807,5,18.12930022488581
89,3.3225827157497405,2.0514929343378028,5,16.612913578748703
153,3.307932898681611,1.889589423250361,5,16.539664493408054
184,3.083419830072671,2.312835199199874,5,15.417099150363356
149,3.023785836203024,2.577957592827945,5,15.118929181015119
141,2.9249088812619446,4.005144254981374,5,14.624544406309724
27,2.8729824208421633,2.145634241755861,5,14.364912104210816
50,2.872909921919927,2.7311129274276253,5,14.364549609599635
83,2.756082007905934,1.5447440974016586,5,13.78041003952967
48,2.752244281792082,1.8505370733674154,5,13.76122140896041
116,2.541466376092285,1.2019138236830682,5,12.707331880461425
126,2.507291768025607,1.8240098230370152,5,12.536458840128034
87,2.4320099252974616,1.2481651694226537,5,12.160049626487307
99,2.4136672188993544,2.5860998809332107,5,12.068336094496772
193,2.3831630836706608,1.309700657598786,5,11.915815418353304
190,2.2200379964895545,1.4806076148787148,5,11.100189982447773
102,2.1973264352884145,1.8354493140273642,5,10.986632176442072
181,2.1658187307417394,1.1858283713610427,5,10.829093653708696
154,2.09506105708424,1.770253223143051,5,10.4753052854212
134,2.053523533698171,1.3586757129022107,5,10.267617668490857
91,2.010815211152658,0.9004491114943353,5,10.05407605576329
72,2.0097203259821983,1.5163802105579163,5,10.04860162991099
107,1.9855034047504887,1.1991452215379934,5,9.927517023752443
38,1.9647577529773117,1.3849865684881013,5,9.823788764886558
128,1.8518480063416063,1.2486697274706355,5,9.259240031708032
164,1.8323046935722231,1.82455203197081,5,9.161523467861116
182,1.8146532449405641,1.2224239357180529,5,9.07326622470282
131,1.7888560166116805,1.652306439690988,5,8.944280083058402
133,1.6727065462386235,1.0067678956350474,5,8.363532731193118
68,1.655057228496298,1.1105253220164975,5,8.275286142481491
85,1.5562808431684971,1.4737991792634324,5,7.781404215842485
96,1.5477737459819765,1.3677628115666736,5,7.738868729909882
161,1.5393544914666564,1.4075079597405913,5,7.696772457333282
176,1.530722644040361,1.0685033826179335,5,7.653613220201805
36,1.4761678215116263,0.9335801650925242,5,7.380839107558131
105,1.4631664488464593,1.449219470008038,5,7.315832244232297
156,1.4217739215120673,1.0839797285721189,5,7.108869607560337
120,1.4199964666739107,1.0256243489103283,5,7.099982333369553
44,1.3971614743582905,2.9923172204549684,5,6.985807371791452
195,1.3953256024513394,1.5438024650660944,5,6.976628012256697
62,1.3726428495720029,1.7667255003883977,2,2.7452856991440058
135,1.3595084923319518,0.9584294890611228,5,6.797542461659759
118,1.3233898371923716,1.1011981840312988,5,6.616949185961857
139,1.2903303415514529,0.8688399009775077,5,6.451651707757264
20,1.223682344192639,0.7400033644386489,5,6.118411720963195
109,1.185099693783559,0.8260461945721591,5,5.9254984689177945
34,1.1782983474899082,1.1012848169931422,5,5.891491737449542
55,1.1605157544836402,1.5388019061947218,5,5.802578772418201
56,1.132237115688622,0.6150390131785056,5,5.66118557844311
51,1.1260870193364099,0.41834824305965435,5,5.630435096682049
64,1.125900411233306,0.8393280085504214,5,5.62950205616653
25,1.1185736189130693,0.9441429118645769,5,5.592868094565347
30,0.991871624160558,1.0989781605945361,5,4.95935812080279
3,0.982455561729148,0.7742420262151595,5,4.91227780864574
142,0.9748429897706956,0.6837845215540703,5,4.874214948853478
197,0.9700263346778228,0.5892301374735927,5,4.850131673389114
145,0.9427549610845745,0.8255276292550399,5,4.713774805422872
79,0.9259284028783441,0.9494797731517828,5,4.62964201439172
61,0.9229538509156555,1.1974580722447914,5,4.6147692545782775
103,0.9129061229526997,0.3290070314757043,5,4.564530614763498
59,0.8327385375741869,0.6593282902570757,5,4.163692687870935
28,0.8176444341428578,0.5763170017104436,5,4.088222170714289
108,0.8090473601128906,0.6603654039139865,5,4.045236800564453
52,0.8030692709609866,1.1182458035613638,5,4.015346354804933
194,0.7902207591570913,0.6274880176972153,5,3.951103795785457
63,0.7708722941111773,1.2655121805093374,5,3.8543614705558866
67,0.758481560787186,0.7622715053342987,5,3.79240780393593
115,0.7417843826115131,,1,0.7417843826115131
58,0.7247717752121389,0.3319185152227977,5,3.6238588760606945
11,0.7031444580294192,0.806926169644749,5,3.515722290147096
94,0.7008933406323195,0.6346774982508891,4,2.803573362529278
155,0.700702169071883,0.4493188804623538,5,3.503510845359415
31,0.6821599584072828,0.7981707409141371,5,3.410799792036414
49,0.6797125685028732,0.6301257757769434,5,3.398562842514366
6,0.6777811332605779,0.8194311118509164,5,3.3889056663028896
21,0.6607404310489073,0.8613075126794089,4,2.6429617241956294
74,0.6604585291352123,0.4613808703703231,4,2.641834116540849
45,0.6507657380774617,0.8059570724930423,5,3.2538286903873086
168,0.6464384043123573,0.5000365933351653,5,3.2321920215617865
196,0.6398069552611559,0.35102048250139123,5,3.19903477630578
177,0.6338239759206772,0.640916703737097,5,3.169119879603386
147,0.6128327924525365,0.9861482065316313,4,2.451331169810146
136,0.6003857679665089,0.767750915242552,5,3.0019288398325443
23,0.5840208162087948,0.5927109512955422,5,2.9201040810439736
65,0.5786057172343135,0.4369827722466023,5,2.8930285861715674
121,0.5624692217446864,0.5705266580406005,5,2.812346108723432
73,0.5619991812040098,0.4311398193511099,5,2.809995906020049
110,0.559047861630097,0.48252149733082234,5,2.795239308150485
188,0.55203141476959,0.3284404144493736,5,2.7601570738479495
16,0.5513759758323431,0.7044918486444441,5,2.7568798791617155
198,0.5306210815906525,0.8702742382413012,4,2.12248432636261
80,0.5231831420212985,0.4455096818480605,5,2.615915710106492
8,0.5226713797698418,0.594094413781081,3,1.5680141393095255
100,0.5223829360678792,0.8202084517937271,5,2.611914680339396
200,0.5153130459133536,0.5697306609552244,5,2.576565229566768
170,0.501076634414494,0.5115977182098199,5,2.50538317207247
12,0.49780791462399065,0.6592636294856592,5,2.4890395731199533
10,0.4666357269976288,0.2845906799251282,5,2.333178634988144
117,0.4457627496682107,0.531971331254962,5,2.2288137483410537
166,0.44385987767018376,0.18227211781282623,5,2.219299388350919
159,0.44030388961546124,0.47166605949510093,5,2.201519448077306
132,0.4114255620166659,0.7387565902625337,5,2.0571278100833297
71,0.40328927955124527,0.495544678494614,4,1.613157118204981
175,0.38510117360856383,0.5651224031320964,5,1.9255058680428192
22,0.38230581779498607,0.6491699714591147,4,1.5292232711799443
101,0.36967072817496954,0.29499629335863964,5,1.8483536408748478
19,0.35156646464020014,0.46946839159599874,2,0.7031329292804003
42,0.3436878491193056,0.4004888519917432,5,1.718439245596528
24,0.3299754334613681,0.21920157969165924,5,1.6498771673068404
104,0.3292453855276108,0.20644022264859302,5,1.646226927638054
90,0.31676329639740286,0.21209862217264638,5,1.5838164819870144
47,0.30932079192716627,0.2734067411973505,5,1.5466039596358314
169,0.3077109884470701,0.14845927473341944,5,1.5385549422353506
172,0.30607717647217214,0.49754047393728545,4,1.2243087058886886
119,0.304162232670933,0.37527591425479556,5,1.520811163354665
81,0.2910577729344368,0.38195482417903714,2,0.5821155458688736
152,0.2719496862962842,0.42601898845842495,5,1.359748431481421
53,0.27140599344857036,0.3007394270536216,5,1.3570299672428519
192,0.2637989057227969,0.23952400660405554,5,1.3189945286139846
33,0.26119203108828515,0.17021115831897754,5,1.3059601554414257
78,0.25864189928397535,0.30066579141458266,5,1.2932094964198768
137,0.2565512488596141,0.1963014058498357,5,1.2827562442980707
173,0.2554335031658411,0.357288353796217,5,1.2771675158292055
17,0.2536804907955229,0.20686369506696328,5,1.2684024539776146
77,0.25269997147843243,0.2239012586219022,5,1.263499857392162
60,0.252385117392987,0.2233765343220363,5,1.261925586964935
54,0.24719062317162752,0.1526326356439947,5,1.2359531158581376
4,0.24578695526967445,0.31472070126289053,3,0.7373608658090234
69,0.21369725298136472,0.10519080941315109,5,1.0684862649068236
183,0.2128602359443903,0.1464160824963236,3,0.6385807078331709
5,0.2057126825209707,0.35393402779552185,5,1.0285634126048535
57,0.19843978830613196,0.13015865036678895,4,0.7937591532245278
179,0.186594385933131,0.141992612636989,5,0.9329719296656549
160,0.1859687295043841,0.08922606850715123,5,0.9298436475219205
180,0.18137805527076126,0.11917279626379372,5,0.9068902763538063
187,0.17256924882531166,0.1445480486432129,2,0.3451384976506233
97,0.1586311581544578,0.20802040672942135,5,0.793155790772289
140,0.15680544283241032,0.13563865466463748,5,0.7840272141620517
150,0.15379482312127948,0.04503170878520372,5,0.7689741156063974
13,0.14362967112101616,0.118404434261647,5,0.7181483556050807
165,0.12778272833675147,0.057109240973520534,5,0.6389136416837573
144,0.12684701988473535,0.18885497761664027,5,0.6342350994236767
123,0.126260591018945,0.15630269068023023,5,0.6313029550947249
114,0.12493944292267163,0.13208393107603406,3,0.3748183287680149
191,0.11765875259879977,0.06644354582054546,4,0.47063501039519906
46,0.11658232128247618,0.14913471718459417,5,0.5829116064123809
122,0.10251121936986844,0.08005133176936086,3,0.3075336581096053
98,0.09002969972789288,0.07357319586228346,3,0.2700890991836786
148,0.08029800752410665,0.0812125183799579,4,0.3211920300964266
88,0.0751322633586824,0.07435378887879036,2,0.1502645267173648
138,0.07406912930309772,0.03508714338401997,2,0.14813825860619545
112,0.07212371723726392,0.09922965508668595,5,0.3606185861863196
41,0.056855457776691765,0.05137376819793194,4,0.22742183110676706
157,0.05449283899118503,0.0381516948971505,3,0.1634785169735551
95,0.054271624609828,0.04396693026629945,5,0.27135812304914
32,0.049192796053830534,0.05262807534999939,4,0.19677118421532214
143,0.04036079999059439,0.03045728122176945,3,0.12108239997178316
26,0.039339025815327965,0.03763236726713734,3,0.11801707744598389
162,0.034388436703011394,0.00758304748391764,2,0.06877687340602279
14,0.027916159480810165,0.013984840634808898,2,0.05583231896162033
186,0.027139506147553522,0.02746905316719609,3,0.08141851844266057
125,0.022591520100831985,,1,0.022591520100831985
178,0.009597834199666977,,1,0.009597834199666977
84,0.009286193177103996,,1,0.009286193177103996
