feature,imp_mean,imp_std
U_AccountAge_days,0.18881286780594514,0.0768034438435908
following_count,0.039814038445617414,0.03249415395750264
followers_count,0.014878326602464565,0.018768681484212863
HU_AverageInterval_days,0.0041184041184041285,0.01456480149218221
total_posts,0.0026797353044817895,0.06193539188774377
retweet_count,0.00012860150791188518,0.02490504929045664
HU_TweetNum,0.0,0.0
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
U_ListedNum,0.0,0.0
U_ProfileUrl,0.0,0.0
U_ListedNumDay,0.0,0.0
U_TweetNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
U_FollowerNumDay,0.0,0.0
verified,0.0,0.0
posting_frequency,0.0,0.0
follower_to_followee_ratio,0.0,0.0
retweet_ratio,0.0,0.0
