feature,imp_mean,imp_std
U_AccountAge_days,0.020082469154109217,0.06449486283576385
following_count,0.011284859985049734,0.023250839329924056
HU_TweetNum,0.0,0.0
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
U_ListedNum,0.0,0.0
HU_AverageInterval_days,0.0,0.0
U_FollowerNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
U_TweetNumDay,0.0,0.0
U_ProfileUrl,0.0,0.0
U_ListedNumDay,0.0,0.0
verified,0.0,0.0
follower_to_followee_ratio,0.0,0.0
posting_frequency,0.0,0.0
retweet_ratio,0.0,0.0
followers_count,-0.004618768328445743,0.010994867815205256
total_posts,-0.00491100468231922,0.023051345644790083
retweet_count,-0.027850073313782975,0.019472839366658196
