fold,k_selected,F1_selected,F1_k0
1,0,0.48294930875576036,0.48294930875576036
2,0,0.43529411764705883,0.43529411764705883
3,0,0.5901477832512315,0.5901477832512315
4,0,0.4056695992179863,0.4056695992179863
5,0,0.5270935960591133,0.5270935960591133
