feature,imp_mean,imp_std
U_AccountAge_days,0.2836572855652471,0.07837946736079084
retweet_count,0.01529478722736755,0.032945468513534505
following_count,0.011421448469660828,0.038253334383508156
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
HU_TweetNum,0.0,0.0
HU_AverageInterval_days,0.0,0.0
U_FollowerNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
U_ListedNum,0.0,0.0
U_ProfileUrl,0.0,0.0
U_ListedNumDay,0.0,0.0
U_TweetNumDay,0.0,0.0
posting_frequency,0.0,0.0
verified,0.0,0.0
follower_to_followee_ratio,0.0,0.0
retweet_ratio,0.0,0.0
followers_count,-0.0031085660070479747,0.009325698021143925
total_posts,-0.01189875803466065,0.05628543862471707
