fold,cluster,drop_F1
4,129,0.08422540187246064
4,70,0.11384992030153318
4,111,0.14451951951951947
4,37,0.11384992030153318
4,185,0.11384992030153318
4,146,0.11384992030153318
4,171,0.0
4,199,-0.03603603603603611
4,92,0.027456027456027376
4,127,0.05548011065252445
4,15,0.08422540187246064
4,18,0.08422540187246064
4,126,0.0
4,163,0.05548011065252445
4,108,0.027456027456027376
4,113,0.027456027456027376
4,1,0.05548011065252445
4,83,0.05548011065252445
4,39,0.027456027456027376
4,76,0.05548011065252445
