fold,cluster,saliency
2,37,28.7062930976972
2,70,27.427581540308893
2,185,21.988061216659844
2,129,20.222355493344367
2,146,19.59430111106485
2,111,18.68058777693659
2,171,12.58234275970608
2,141,8.421366728842258
2,199,8.388379662297666
2,163,7.412669226527214
2,1,7.23861738294363
2,92,6.690912661142647
2,113,6.667948915157467
2,15,5.9040233585983515
2,7,5.765981627628207
2,127,5.749690966680646
2,189,5.746665528975427
2,29,5.620650882832706
2,27,5.340564284473658
2,48,4.071678755804896
2,87,4.065471232868731
2,164,3.8618513457477093
2,18,3.8474482595920563
2,153,3.8023297879844904
2,193,3.7447497081011534
2,105,3.6507451720535755
2,195,3.643925106152892
2,40,3.524300066754222
2,39,3.3770561227574944
2,102,3.2979103913530707
2,128,3.2532012946903706
2,135,3.0330039113759995
2,93,2.9817178454250097
2,89,2.9414115883409977
2,91,2.789175907149911
2,75,2.7181242583319545
2,190,2.643950709141791
2,182,2.602496100589633
2,149,2.60105549544096
2,116,2.4798880517482758
2,36,2.465650113299489
2,134,2.211700251325965
2,181,2.096152853220701
2,99,1.956381513737142
2,85,1.9293775483965874
2,184,1.920567773282528
2,62,1.905676294118166
2,103,1.8627129662781954
2,126,1.7851080857217312
2,30,1.6962284296751022
2,56,1.6785874124616385
2,131,1.678229920566082
2,83,1.6672525415197015
2,51,1.546174006536603
2,50,1.5234467405825853
2,109,1.5063255233690143
2,175,1.4703417718410492
2,38,1.4473445760086179
2,34,1.3757240399718285
2,197,1.3028144557029009
2,133,1.260508917272091
2,72,1.2526378203183413
2,28,1.2448980808258057
2,94,1.2100574746727943
2,31,1.2047683857381344
2,142,1.1966410540044308
2,107,1.1606323402374983
2,96,1.1482985578477383
2,176,1.147227380424738
2,198,1.1197422202676535
2,200,1.0674517899751663
2,64,1.0397924315184355
2,156,0.9646608904004097
2,76,0.9553707726299763
2,120,0.9365664646029472
2,16,0.9306734465062618
2,47,0.9135730676352978
2,59,0.9094911105930805
2,20,0.8380482718348503
2,22,0.8288973644375801
2,188,0.8253643549978733
2,144,0.8240469843149185
2,139,0.8143547140061855
2,161,0.7887095101177692
2,79,0.7431527674198151
2,68,0.7304140701889992
2,154,0.7210750076919794
2,159,0.7013417519629002
2,118,0.6881843749433756
2,58,0.680460587143898
2,74,0.5954005867242813
2,119,0.5882018730044365
2,101,0.5394942238926888
2,53,0.5241362228989601
2,196,0.5029204301536083
2,3,0.5017979070544243
2,170,0.4951058588922024
2,25,0.49098675325512886
2,10,0.48856450244784355
2,61,0.4848707253113389
2,136,0.47528500854969025
2,80,0.4739221855998039
2,155,0.4634636640548706
2,23,0.4601813554763794
2,54,0.4554358273744583
2,172,0.44140852615237236
2,137,0.36143991351127625
2,110,0.3507215268909931
2,19,0.3478448987007141
2,11,0.3366646505892277
2,73,0.32422926556319
2,140,0.3215688355267048
2,192,0.3197302557528019
2,194,0.31463219225406647
2,145,0.3143889959901571
2,150,0.29357121139764786
2,49,0.29324134066700935
2,12,0.2838725056499243
2,180,0.2838430255651474
2,166,0.27640047669410706
2,177,0.25770242512226105
2,77,0.25429806113243103
2,168,0.25004784017801285
2,21,0.2421800848096609
2,100,0.23089098557829857
2,121,0.2279311828315258
2,179,0.21301893144845963
2,69,0.1914889309555292
2,169,0.18856728076934814
2,65,0.17961706966161728
2,90,0.17707251012325287
2,33,0.17677495442330837
2,108,0.16902191936969757
2,147,0.1627805270254612
2,160,0.15052204206585884
2,117,0.1504803504794836
2,24,0.1402020826935768
2,45,0.1391896903514862
2,95,0.1355186440050602
2,44,0.12614618241786957
2,132,0.11701186001300812
2,42,0.11636136844754219
2,57,0.11427251249551773
2,122,0.11223156005144119
2,17,0.10625443607568741
2,60,0.09546947479248047
2,152,0.08610883727669716
2,5,0.08004055172204971
2,55,0.0740631464868784
2,165,0.07363925874233246
2,52,0.07106255739927292
2,41,0.06502240151166916
2,114,0.0586104542016983
2,138,0.05682268366217613
2,71,0.05474931746721268
2,63,0.048533473163843155
2,97,0.04628012701869011
2,148,0.03481470048427582
