cluster,saliency_mean,saliency_std,n_folds,saliency_sum
70,17.654983496898787,7.364660779336504,5,88.27491748449393
37,16.630144452862442,8.482915200799308,5,83.15072226431221
129,15.316788770677523,6.829079274939993,5,76.58394385338761
185,14.921790055278688,6.963687551502835,5,74.60895027639344
111,14.277963449712843,6.866905353340506,5,71.38981724856421
146,9.535187691310421,5.812792347799233,5,47.6759384565521
171,7.822492098901421,4.033610830225026,5,39.112460494507104
199,6.39799298606813,2.7285393772952165,5,31.989964930340648
15,5.493492154031992,3.425858349264392,5,27.46746077015996
1,5.055355143733323,3.8292009061014287,5,25.276775718666613
92,4.811454183235765,2.4198687760146163,5,24.057270916178823
127,4.020511152036488,2.416054225908172,5,20.10255576018244
7,3.543348534591496,3.6967589356747563,5,17.71674267295748
29,3.509028352610767,1.8623717472452002,5,17.545141763053834
18,3.4730410273186862,1.785199041722896,5,17.36520513659343
163,3.3219417115207763,2.3680449734906657,5,16.60970855760388
113,3.0969843371771275,2.0855067239747274,5,15.484921685885638
40,2.7878785433247684,1.7999777841202853,5,13.939392716623843
93,2.7610139047726987,1.374915574928608,5,13.805069523863494
39,2.692010174272582,1.2863039481839134,5,13.46005087136291
189,2.621494554216042,1.8103378701553108,5,13.10747277108021
76,2.6038417992182077,2.277969224642314,5,13.019208996091038
75,2.5194155386649073,1.4691211394262202,5,12.597077693324536
153,2.509250065498054,1.6336388679408016,5,12.54625032749027
184,2.4034771150909364,1.9572975133888655,5,12.017385575454682
141,2.197897056490183,3.496702737325626,5,10.989485282450914
126,2.1952331703156234,1.3308522298250662,5,10.976165851578116
48,2.1465965301729737,1.3325479393625117,5,10.73298265086487
27,2.145283648511395,1.8439160746839902,5,10.726418242556974
149,2.1314037391915917,1.0879852392233427,5,10.657018695957959
87,2.032204263936728,1.2361243731729006,5,10.161021319683641
89,2.0267050822265444,1.0434018058815187,5,10.133525411132723
193,1.9556404996197672,1.461086436437901,5,9.778202498098835
83,1.9128719669766725,0.987210788029367,5,9.564359834883362
116,1.8718404572457075,1.124873170543661,5,9.359202286228538
133,1.643586922250688,1.2901418335019226,5,8.21793461125344
181,1.5903423187322914,0.5839177944793758,5,7.951711593661457
107,1.5744115753099321,0.8773516141875034,5,7.872057876549661
135,1.5721563179045916,1.0576007716291547,5,7.860781589522958
176,1.5386708015576005,1.4704019848694116,5,7.6933540077880025
128,1.4796303644776345,1.0571608874573302,5,7.398151822388172
50,1.475266214646399,0.9208978042109255,5,7.376331073231995
102,1.469683939218521,1.070356098311775,5,7.348419696092606
190,1.4644283611327409,0.7375314028580566,5,7.322141805663705
99,1.4407949075568467,0.5156709754126417,5,7.203974537784234
91,1.3800888845231385,0.9224930315850345,5,6.900444422615692
105,1.3528879459947347,1.5337028654894072,5,6.764439729973674
154,1.3516679717227817,0.463615952694867,5,6.758339858613908
164,1.3175592207349838,1.5231632983900139,5,6.587796103674918
72,1.298019516840577,0.7558153906002945,5,6.490097584202886
96,1.2388315008953215,1.3866042309063153,5,6.194157504476607
38,1.2293627105653286,0.382368522860419,5,6.146813552826643
134,1.2169134953059255,0.6134169926281297,5,6.084567476529628
68,1.2152211747132242,1.2624625984269324,5,6.076105873566121
94,1.1659033372998238,0.06244337990773974,2,2.3318066745996475
182,1.1577467751689254,0.8583343430375283,5,5.788733875844628
161,1.1566652142442764,1.3192051224028196,5,5.783326071221381
