cluster,drop_F1_mean,drop_F1_std,n_folds
83,0.05548011065252445,,1
146,0.051844516988789315,0.058257461141159005,5
108,0.027456027456027376,,1
39,0.027456027456027376,,1
7,0.019582335371809062,0.027693604265750762,2
171,0.015679406478236457,0.03272744928384216,5
129,0.013532955948900038,0.06169250771219803,5
76,0.012182179346402089,0.03867367560134692,3
185,0.007962730542331454,0.0832871520400943,5
15,0.007894921307684067,0.046863906930958175,5
18,0.007490185985141469,0.07327779475911844,3
113,0.006864006864006844,0.013728013728013688,4
1,0.00597349069218398,0.029814585068314154,5
29,0.005408902691511397,0.010817805383022796,4
127,0.002982788355955418,0.04057489473479074,4
92,0.0008681685776065317,0.028376038291661698,5
99,0.0,,1
184,0.0,,1
149,0.0,,1
107,0.0,,1
75,0.0,0.0,3
48,0.0,,1
27,0.0,,1
40,0.0,,1
126,0.0,,1
111,-0.0016383816648928074,0.10940874568294864,5
163,-0.004584551403576109,0.04462347665754594,4
189,-0.008300395256916985,0.014376706307883944,3
199,-0.012407566382338952,0.050163306065323016,5
93,-0.014916931778013435,0.02583688373255802,3
70,-0.01972905214945122,0.10410660730791688,5
37,-0.0203244428636424,0.12878113831011498,5
141,-0.02561265719160455,,1
