feature,drop_mean,drop_std
user:U_AccountAge_days,-0.009051513997246213,0.03912088637195058
user:total_posts,0.0005848890353323088,0.0364050962298389
user:followers_count,-0.011146749755620739,0.023354288552593045
user:following_count,-0.012729105571847522,0.018857118679810624
user:verified,0.0049128859755045665,0.011998824888972748
user:posting_frequency,0.058485048357496475,0.05386305222260289
user:retweet_count,0.018309433592427742,0.05270174676238238
user:follower_to_followee_ratio,0.0,0.0
user:retweet_ratio,-0.014225641136219908,0.03132957476981348
user:HU_TweetNum,-0.0032655180840664823,0.022432651440698746
user:HU_TweetPercent_Original,0.024979191823356884,0.03311707231218248
user:HU_TweetPercent_Retweet,0.025116444848745433,0.035617126690705006
user:HU_AverageInterval_days,0.001702640733712818,0.031609498446896575
user:U_ListedNum,-0.03727574607555635,0.028089495395517017
user:U_ProfileUrl,-0.006018190039692705,0.02901759633153015
user:U_FollowerNumDay,-0.004599577367603946,0.02155474649420814
user:U_FolloweeNumDay,-0.011060965441895249,0.0232778135259238
user:U_TweetNumDay,0.02925059364595938,0.06804793828538071
user:U_ListedNumDay,0.0015395894428152479,0.00688525330315184
