feature,drop_mean,drop_std
user:U_AccountAge_days,0.008820512820512822,0.03153734212455821
user:total_posts,0.08115586790191005,0.06452186951020698
user:followers_count,-0.006909581646423774,0.012278648802131831
user:following_count,-0.004491228070175457,0.01928764297372894
user:verified,0.004836707152496633,0.01896908844644911
user:posting_frequency,0.04263390192609796,0.031098841491589563
user:retweet_count,0.0007308888529971247,0.04799630706975791
user:follower_to_followee_ratio,0.0,0.0
user:retweet_ratio,0.018523073680968394,0.030440056606577077
user:HU_TweetNum,-0.0017118332907806622,0.020896133872172987
user:HU_TweetPercent_Original,-0.005527665317139019,0.011342529905913104
user:HU_TweetPercent_Retweet,0.012458839406207844,0.027363826136719657
user:HU_AverageInterval_days,-0.0017273954116059475,0.017598206784618237
user:U_ListedNum,-0.011055330634278038,0.013891705330872793
user:U_ProfileUrl,0.0,0.0
user:U_FollowerNumDay,0.001387622440254016,0.00620563620702424
user:U_FolloweeNumDay,-0.003627530364372483,0.014932363281831685
user:U_TweetNumDay,-0.0023673291230359994,0.042433896617783476
user:U_ListedNumDay,0.0,0.0
