feature,drop_F1,base_F1,abl_F1
user:U_AccountAge_days,0.056516290726817076,0.6898496240601504,0.6333333333333333
user:total_posts,0.028153445122592102,0.6898496240601504,0.6616961789375583
user:followers_count,0.028153445122592102,0.6898496240601504,0.6616961789375583
user:following_count,0.0,0.6898496240601504,0.6898496240601504
user:verified,0.0,0.6898496240601504,0.6898496240601504
user:posting_frequency,0.056516290726817076,0.6898496240601504,0.6333333333333333
user:retweet_count,0.028153445122592102,0.6898496240601504,0.6616961789375583
user:follower_to_followee_ratio,0.0,0.6898496240601504,0.6898496240601504
user:retweet_ratio,0.028153445122592102,0.6898496240601504,0.6616961789375583
user:HU_TweetNum,0.028153445122592102,0.6898496240601504,0.6616961789375583
user:HU_TweetPercent_Original,0.028153445122592102,0.6898496240601504,0.6616961789375583
user:HU_TweetPercent_Retweet,0.028153445122592102,0.6898496240601504,0.6616961789375583
user:HU_AverageInterval_days,0.028153445122592102,0.6898496240601504,0.6616961789375583
user:U_ListedNum,0.0,0.6898496240601504,0.6898496240601504
user:U_ProfileUrl,0.06203007518796988,0.6898496240601504,0.6278195488721805
user:U_FollowerNumDay,-0.06203007518796988,0.6898496240601504,0.7518796992481203
user:U_FolloweeNumDay,0.056516290726817076,0.6898496240601504,0.6333333333333333
user:U_TweetNumDay,0.056516290726817076,0.6898496240601504,0.6333333333333333
user:U_ListedNumDay,0.056516290726817076,0.6898496240601504,0.6333333333333333
