feature,drop_mean,drop_std
user:U_AccountAge_days,0.02533810061033289,0.008665447569719058
user:total_posts,0.036719723353117184,0.025431796697527143
user:followers_count,0.021115083841944077,0.012507496217564716
user:following_count,0.0034578968789495067,0.010643182024635038
user:verified,0.0,0.0
user:posting_frequency,0.03529367623580491,0.02229458746538892
user:retweet_count,0.011271848073118484,0.016872117721061265
user:follower_to_followee_ratio,0.0,0.0
user:retweet_ratio,0.036932913598067864,0.02322756856612502
user:HU_TweetNum,0.00583483280851701,0.019024552127482264
user:HU_TweetPercent_Original,0.043825448764562396,0.023549751446526723
user:HU_TweetPercent_Retweet,0.011277283196520937,0.021238741568071148
user:HU_AverageInterval_days,0.014602142528639788,0.021091254963542697
user:U_ListedNum,0.007239787502945389,0.017350555926671906
user:U_ProfileUrl,0.03247572700839486,0.02259384692650088
user:U_FollowerNumDay,-0.03235855584239754,0.028725890307009953
user:U_FolloweeNumDay,0.011261378049036841,0.014150616625768171
user:U_TweetNumDay,0.04434328612377322,0.03804521028752664
user:U_ListedNumDay,0.014128617009742217,0.02730383024027022
