feature,drop_mean,drop_std
user:U_AccountAge_days,-0.021134492939766776,0.030804853380963636
user:total_posts,0.027600197098332314,0.026188300977477506
user:followers_count,-0.031039549267645832,0.022016070799068605
user:following_count,-0.003533919314852374,0.0182983337145015
user:verified,-0.008654496281271124,0.01800078600981518
user:posting_frequency,-0.012420018045566883,0.03367656808172151
user:retweet_count,0.037992074480043166,0.03448420482335419
user:follower_to_followee_ratio,0.0,0.0
user:retweet_ratio,0.04778269764271371,0.032294352920940864
user:HU_TweetNum,0.0,0.0
user:HU_TweetPercent_Original,0.0017515051997810615,0.007832969379309607
user:HU_TweetPercent_Retweet,-0.025601427006910215,0.02912948714881044
user:HU_AverageInterval_days,0.008757525998905308,0.015562532092192901
user:U_ListedNum,0.003503010399562123,0.010782038511239713
user:U_ProfileUrl,0.005810876074567761,0.011923666118312162
user:U_FollowerNumDay,-0.03369071766637688,0.0
user:U_FolloweeNumDay,0.0029054380372838806,0.00894274958873412
user:U_TweetNumDay,-0.006628754876859921,0.046199849828819674
user:U_ListedNumDay,0.00799510608841238,0.021067058704573056
