feature,drop_F1,base_F1,abl_F1
user:U_AccountAge_days,0.03059982613735146,0.8423645320197044,0.8117647058823529
user:total_posts,0.0,0.8423645320197044,0.8423645320197044
user:followers_count,0.03059982613735146,0.8423645320197044,0.8117647058823529
user:following_count,0.0,0.8423645320197044,0.8423645320197044
user:verified,-0.06379382575155657,0.8423645320197044,0.906158357771261
user:posting_frequency,-0.032145271901864225,0.8423645320197044,0.8745098039215686
user:retweet_count,-0.032635467980295596,0.8423645320197044,0.875
user:follower_to_followee_ratio,-0.0012327309323972857,0.8423645320197044,0.8435972629521017
user:retweet_ratio,-0.06379382575155657,0.8423645320197044,0.906158357771261
user:HU_TweetNum,0.0,0.8423645320197044,0.8423645320197044
user:HU_TweetPercent_Original,-0.0012327309323972857,0.8423645320197044,0.8435972629521017
user:HU_TweetPercent_Retweet,0.03284072249589487,0.8423645320197044,0.8095238095238095
user:HU_AverageInterval_days,0.03284072249589487,0.8423645320197044,0.8095238095238095
user:U_ListedNum,0.0,0.8423645320197044,0.8423645320197044
user:U_ProfileUrl,0.03059982613735146,0.8423645320197044,0.8117647058823529
user:U_FollowerNumDay,0.0,0.8423645320197044,0.8423645320197044
user:U_FolloweeNumDay,0.0,0.8423645320197044,0.8423645320197044
user:U_TweetNumDay,-0.032145271901864225,0.8423645320197044,0.8745098039215686
user:U_ListedNumDay,-0.032145271901864225,0.8423645320197044,0.8745098039215686
