fold,cluster,saliency
3,70,52.082444802857935
3,129,48.626660196110606
3,37,47.87171282991767
3,111,43.50304560083896
3,185,38.58529854938388
3,146,21.670948768034577
3,92,20.31900207325816
3,15,15.819722287356853
3,199,15.709499098360538
3,171,15.41792555898428
3,18,14.89327690564096
3,1,13.392542546615005
3,127,12.014819802716374
3,93,11.091702297329903
3,29,10.74007039051503
3,163,10.692718632519245
3,113,9.673838910646737
3,133,8.846896214410663
3,48,8.253835977986455
3,27,8.170597572810948
3,72,7.94050807133317
3,189,7.872467759996653
3,141,7.801125559955835
3,184,7.3825911320745945
3,39,7.3341223653405905
3,50,7.228261701762676
3,87,7.22024299018085
3,153,7.053278407081962
3,75,6.965893108397722
3,40,6.827327959239483
3,102,6.126256538555026
3,156,6.029488317668438
3,107,5.953826064243913
3,149,5.74632940813899
3,190,5.445879436098039
3,91,5.044765703380108
3,96,4.9830090925097466
3,38,4.91556534729898
3,99,4.859775330871344
3,134,4.7600348852574825
3,7,4.5061464458703995
3,116,4.386426046490669
3,3,4.383981021121144
3,109,4.3359608463943005
3,83,4.1642700508236885
3,105,4.070516292005777
3,181,4.0515827015042305
3,193,3.880505501292646
3,51,3.8143293652683496
3,128,3.8094869386404753
3,154,3.7559420950710773
3,89,3.592636100947857
3,34,3.3297260850667953
3,176,3.2030691280961037
3,161,3.1576704643666744
3,20,3.108469821512699
3,118,2.9390124790370464
3,76,2.904440749436617
3,63,2.8119786642491817
3,31,2.7353023886680603
3,36,2.7135013146325946
3,135,2.68576505407691
3,58,2.605584977194667
3,68,2.4226650707423687
3,56,2.4143897481262684
3,195,2.3576296232640743
3,28,2.3426263127475977
3,64,2.330162025988102
3,182,2.321640597656369
3,197,2.300738751888275
3,139,2.2233942449092865
3,21,2.181882578879595
3,97,2.0021230205893517
3,25,1.9910092875361443
3,55,1.9477466512471437
3,131,1.8435141369700432
3,155,1.8309007473289967
3,188,1.8229114040732384
3,94,1.7805601935833693
3,120,1.7591031230986118
3,85,1.7377035282552242
3,126,1.7313120812177658
3,179,1.7167057506740093
3,52,1.6648691892623901
3,65,1.6645500101149082
3,108,1.6478079855442047
3,30,1.6326594576239586
3,164,1.6145385727286339
3,142,1.5919667538255453
3,33,1.5102051720023155
3,200,1.438313651829958
3,169,1.4080619886517525
3,73,1.3509433306753635
3,74,1.3044394552707672
3,61,1.30228590965271
3,110,1.299100499600172
3,59,1.2857793625444174
3,10,1.2717999666929245
3,103,1.2379621677100658
3,145,1.2315206229686737
3,49,1.2019537016749382
3,121,1.2007506620138884
3,79,1.1992742270231247
3,140,1.1958500295877457
3,101,1.1957589983940125
3,177,1.1209131553769112
3,53,1.11266665533185
3,67,1.0875875614583492
3,117,1.0789321772754192
3,6,1.0481340140104294
3,23,1.0087837278842926
3,166,0.9912900850176811
3,11,0.9710897468030453
3,104,0.961306557059288
3,194,0.953674603253603
3,159,0.9292977303266525
3,41,0.8691075518727303
3,60,0.8286325111985207
3,196,0.8196950927376747
3,100,0.8057451657950878
3,80,0.7865730300545692
3,137,0.7405705228447914
3,160,0.7331389896571636
3,47,0.7194019518792629
3,122,0.7185187488794327
3,165,0.6843431070446968
3,16,0.6035545393824577
3,147,0.5918358191847801
3,44,0.5891781747341156
3,170,0.5657124817371368
3,132,0.5580096393823624
3,168,0.5384529232978821
3,123,0.5218533277511597
3,12,0.5196254774928093
3,95,0.5170405991375446
3,77,0.48841241747140884
3,54,0.41422390937805176
3,26,0.3969728723168373
3,71,0.3946048319339752
3,98,0.3944023624062538
3,119,0.39350704848766327
3,136,0.3758700489997864
3,42,0.345282606780529
3,150,0.3333224356174469
3,22,0.32070836424827576
3,45,0.28792640566825867
3,175,0.2841933071613312
3,180,0.26642147824168205
3,57,0.2600632831454277
3,14,0.2537399008870125
3,4,0.25232864171266556
3,62,0.2495981976389885
3,46,0.24473004043102264
3,8,0.2375563681125641
3,143,0.23693180084228516
3,152,0.23461854085326195
3,115,0.23084049671888351
3,88,0.22602146863937378
3,90,0.21641776710748672
3,24,0.1960863173007965
3,32,0.18318262696266174
3,78,0.17905054986476898
3,17,0.175058975815773
3,192,0.17365749925374985
3,13,0.14305244386196136
3,191,0.14209215342998505
3,81,0.12942516803741455
3,173,0.09394446760416031
3,172,0.0925627239048481
3,148,0.0869067832827568
3,187,0.08429665118455887
3,82,0.08031367883086205
3,144,0.06049257144331932
3,178,0.05610563978552818
3,5,0.019309313967823982
