fold,cluster,drop_F1
4,129,0.01987902938874264
4,70,0.01987902938874264
4,185,0.061276595744680806
4,37,-0.019164696611505105
4,111,0.01987902938874264
4,199,0.0
4,146,-0.043968729598071576
4,171,-0.06784194528875381
4,15,0.1053723404255319
4,29,0.01987902938874264
4,92,0.061276595744680806
4,1,0.01987902938874264
4,39,-0.0403216395075785
4,113,-0.019164696611505105
4,76,0.01987902938874264
4,163,0.0
4,99,-0.0403216395075785
4,127,0.01987902938874264
4,153,0.01987902938874264
4,93,0.01987902938874264
