feature,perm_drop_mean,perm_drop_std
mnum:Tone,0.026651312083003788,0.036802758161791196
mnum:Sixltr,0.017884680229290784,0.03999136074854072
mnum:Clout,0.017271441953133647,0.039059319480454914
mnum:female,0.016277537372147922,0.03639768007041604
mnum:relativ,0.016029689718476736,0.024882386704861155
mnum:work,0.011329661683713632,0.025333893686858403
mnum:discrep,0.011156136835482444,0.015588402450997664
mnum:Authentic,0.010372192716803286,0.02624544061948368
mnum:cause,0.01013243247704303,0.02265680779609479
mnum:space,0.01013243247704303,0.02265680779609479
mnum:cogproc,0.009544911889522445,0.02134307182421815
mnum:time,0.00889165209421754,0.012208521713959622
mnum:certain,0.00645610880071934,0.014436298148543088
mnum:see,0.00645610880071934,0.014436298148543088
mnum:ppron,0.00645610880071934,0.014436298148543088
mnum:sexual,0.00645610880071934,0.014436298148543088
mnum:differ,0.00645610880071934,0.014436298148543088
mnum:home,0.005027537372147917,0.011241915323543399
mnum:bio,0.005027537372147917,0.011241915323543399
mnum:informal,0.005027537372147917,0.011241915323543399
mnum:Analytic,0.005027537372147917,0.011241915323543399
mnum:leisure,0.005027537372147917,0.011241915323543399
mnum:prep,0.005027537372147917,0.011241915323543399
mnum:affect,0.005010354202579248,0.05998426750366237
mnum:posemo,0.0011478890701393518,0.015824086291187724
mnum:social,0.00044185112119673466,0.017004705954868443
mnum:Colon,0.0,0.0
mnum:Dash,0.0,0.0
mnum:Exclam,0.0,0.0
mnum:shehe,0.0,0.0
mnum:reward,0.0,0.0
mnum:they,0.0,0.0
mnum:male,0.0,0.0
mnum:i,0.0,0.0
mnum:anger,0.0,0.0
mnum:anx,0.0,0.0
mnum:assent,0.0,0.0
mnum:QMark,0.0,0.0
mnum:adverb,0.0,0.0
mnum:affiliation,0.0,0.0
mnum:SemiC,0.0,0.0
mnum:Quote,0.0,0.0
mnum:OtherP,0.0,0.0
mnum:Period,0.0,0.0
mnum:article,0.0,0.0
mnum:Apostro,0.0,0.0
mnum:AllPunc,0.0,0.0
mnum:Comma,0.0,0.0
mnum:Parenth,0.0,0.0
mnum:hear,0.0,0.0
mnum:function,0.0,0.0
mnum:family,0.0,0.0
mnum:focusfuture,0.0,0.0
mnum:insight,0.0,0.0
mnum:filler,0.0,0.0
mnum:drives,0.0,0.0
mnum:death,0.0,0.0
mnum:feel,0.0,0.0
mnum:compare,0.0,0.0
mnum:auxverb,0.0,0.0
mnum:body,0.0,0.0
mnum:you,0.0,0.0
mnum:we,0.0,0.0
mnum:risk,0.0,0.0
mnum:swear,0.0,0.0
mnum:negate,0.0,0.0
mnum:ingest,0.0,0.0
mnum:interrog,0.0,0.0
mnum:ipron,0.0,0.0
mnum:focuspast,0.0,0.0
mnum:friend,0.0,0.0
mnum:relig,0.0,0.0
mnum:sad,0.0,0.0
mnum:pronoun,0.0,0.0
mnum:nonflu,0.0,0.0
mnum:quant,0.0,0.0
mnum:number,-0.0010563787117681578,0.0023621346094972575
mnum:verb,-0.001574779230168666,0.0035213134082119246
mnum:netspeak,-0.004585686250951182,0.010253906180613002
mnum:tentat,-0.004585686250951182,0.010253906180613002
mnum:health,-0.004585686250951182,0.010253906180613002
mnum:conj,-0.004585686250951182,0.010253906180613002
mnum:negemo,-0.004585686250951182,0.010253906180613002
mnum:percept,-0.00497246262785207,0.011118764451454469
mnum:power,-0.00497246262785207,0.011118764451454469
mnum:adj,-0.00564206496271934,0.009930343324292287
mnum:money,-0.006222462627852065,0.013913849423329194
mnum:achieve,-0.006953886776458873,0.015549363539998924
mnum:motion,-0.010808148878803247,0.015079858899767424
mnum:Dic,-0.012734216977231616,0.06886643837595294
mnum:WC,-0.018202139168684517,0.06411304939493069
mnum:focuspresent,-0.022191837326445186,0.04672579708059572
mnum:WPS,-0.06374268523052226,0.07980878677188731
