fold,k_selected,F1_selected,F1_k0
1,0,0.5751376868607396,0.5751376868607396
2,0,0.45696539485359355,0.45696539485359355
3,0,0.45696539485359355,0.45696539485359355
4,0,0.5428571428571429,0.5428571428571429
5,0,0.38183347350714886,0.38183347350714886
