feature,imp_mean,imp_std
U_AccountAge_days,0.13315818510193939,0.05107189627210435
following_count,0.038215766184250884,0.021572971297989588
retweet_count,0.010900102260396328,0.030464398748535532
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
HU_TweetNum,0.0,0.0
HU_AverageInterval_days,0.0,0.0
U_FollowerNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
U_ListedNum,0.0,0.0
U_ProfileUrl,0.0,0.0
U_ListedNumDay,0.0,0.0
U_TweetNumDay,0.0,0.0
verified,0.0,0.0
followers_count,0.0,0.0
follower_to_followee_ratio,0.0,0.0
posting_frequency,0.0,0.0
retweet_ratio,0.0,0.0
total_posts,-0.004881518213561609,0.034772276460754904
