feature,imp_mean,imp_std
following_count,0.08257565988865685,0.03795307660308258
U_AccountAge_days,0.05797857200628096,0.06934897943172379
HU_AverageInterval_days,0.0108766784071814,0.02247453112286711
retweet_count,7.218523682185896e-05,0.02888395822550807
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetNum,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
U_FollowerNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
U_ListedNum,0.0,0.0
U_ProfileUrl,0.0,0.0
U_ListedNumDay,0.0,0.0
U_TweetNumDay,0.0,0.0
posting_frequency,0.0,0.0
verified,0.0,0.0
follower_to_followee_ratio,0.0,0.0
retweet_ratio,0.0,0.0
followers_count,-0.0004356358629568513,0.026317972353195846
total_posts,-0.005816228783303057,0.06436824354998612
