feature,imp_mean,imp_std
U_AccountAge_days,0.2049215948600085,0.07621242214518623
following_count,0.08492129794349967,0.046398644300757054
total_posts,0.07752539580912807,0.03572499225390554
retweet_count,0.05487532776594264,0.03512916993683194
HU_TweetPercent_Retweet,0.0,0.0
HU_TweetNum,0.0,0.0
HU_TweetPercent_Original,0.0,0.0
U_FollowerNumDay,0.0,0.0
HU_AverageInterval_days,0.0,0.0
U_ListedNum,0.0,0.0
U_ProfileUrl,0.0,0.0
U_ListedNumDay,0.0,0.0
U_TweetNumDay,0.0,0.0
U_FolloweeNumDay,0.0,0.0
followers_count,0.0,0.0
verified,0.0,0.0
posting_frequency,0.0,0.0
follower_to_followee_ratio,0.0,0.0
retweet_ratio,0.0,0.0
