feature,drop_mean,drop_std
user:U_AccountAge_days,0.05123994051409144,0.033208872442691634
user:total_posts,0.011730902637734908,0.025795176254835215
user:followers_count,0.0040261756876663665,0.012392307291711754
user:following_count,0.017103723404255346,0.015507202369601587
user:verified,0.0060392635314995505,0.014749795931378196
user:posting_frequency,0.03268200786456914,0.03781933363999381
user:retweet_count,0.04574092736918163,0.04283900960078117
user:follower_to_followee_ratio,0.0,0.0
user:retweet_ratio,0.022276881503589564,0.024690833038635618
user:HU_TweetNum,0.0004308510638297902,0.011526291433100152
user:HU_TweetPercent_Original,0.013809572643286545,0.03666280912709645
user:HU_TweetPercent_Retweet,0.008852333803371198,0.024775566690793442
user:HU_AverageInterval_days,0.0,0.0
user:U_ListedNum,0.0060392635314995505,0.014749795931378196
user:U_ProfileUrl,-0.025912267080745365,0.01792320891378552
user:U_FollowerNumDay,0.0,0.0
user:U_FolloweeNumDay,0.0,0.0
user:U_TweetNumDay,0.024613375061571168,0.03556913662188224
user:U_ListedNumDay,0.0,0.0
