feature,drop_mean,drop_std
user:U_AccountAge_days,0.004709508679170521,0.03434606634144552
user:total_posts,0.03558467931532948,0.020389899328883722
user:followers_count,0.018335252719349854,0.019428589045774863
user:following_count,0.008101462198791931,0.01523693161618342
user:verified,-0.0014357517482517456,0.022071654521208482
user:posting_frequency,0.020812561709697263,0.039752799058393906
user:retweet_count,0.032922497968937606,0.016780560535870348
user:follower_to_followee_ratio,0.0030419580419580373,0.009362949297000865
user:retweet_ratio,-0.009059491638411143,0.03327975220805243
user:HU_TweetNum,-0.009203023176513869,0.015448751745948383
user:HU_TweetPercent_Original,0.015686877449419205,0.02256104301189553
user:HU_TweetPercent_Retweet,0.0066174305570590505,0.02009512103937513
user:HU_AverageInterval_days,0.03689953855153498,0.021901565430927614
user:U_ListedNum,0.0,0.0
user:U_ProfileUrl,0.047464926714152714,0.02006274107600684
user:U_FollowerNumDay,-0.0005685102171628543,0.014278743485804624
user:U_FolloweeNumDay,0.024146025440677725,0.014894584989737204
user:U_TweetNumDay,0.0037273712471723648,0.0398938621540501
user:U_ListedNumDay,0.0,0.0
