feature,drop_F1,base_F1,abl_F1
user:U_AccountAge_days,-0.05435156518747841,0.5555555555555556,0.609907120743034
user:total_posts,0.0,0.5555555555555556,0.5555555555555556
user:followers_count,-0.027456027456027376,0.5555555555555556,0.583011583011583
user:following_count,0.0,0.5555555555555556,0.5555555555555556
user:verified,0.0,0.5555555555555556,0.5555555555555556
user:posting_frequency,0.0013759889920881285,0.5555555555555556,0.5541795665634675
user:retweet_count,0.0,0.5555555555555556,0.5555555555555556
user:follower_to_followee_ratio,0.0,0.5555555555555556,0.5555555555555556
user:retweet_ratio,0.0,0.5555555555555556,0.5555555555555556
user:HU_TweetNum,-0.027456027456027376,0.5555555555555556,0.583011583011583
user:HU_TweetPercent_Original,0.0,0.5555555555555556,0.5555555555555556
user:HU_TweetPercent_Retweet,0.05710354317165467,0.5555555555555556,0.4984520123839009
user:HU_AverageInterval_days,0.0,0.5555555555555556,0.5555555555555556
user:U_ListedNum,0.0,0.5555555555555556,0.5555555555555556
user:U_ProfileUrl,0.0,0.5555555555555556,0.5555555555555556
user:U_FollowerNumDay,0.0,0.5555555555555556,0.5555555555555556
user:U_FolloweeNumDay,0.0,0.5555555555555556,0.5555555555555556
user:U_TweetNumDay,-0.027456027456027376,0.5555555555555556,0.583011583011583
user:U_ListedNumDay,0.0,0.5555555555555556,0.5555555555555556
