feature,drop_F1,base_F1,abl_F1
user:U_AccountAge_days,0.023297872340425574,0.625,0.6017021276595744
user:total_posts,0.0,0.625,0.625
user:followers_count,0.0,0.625,0.625
user:following_count,0.0,0.625,0.625
user:verified,0.0,0.625,0.625
user:posting_frequency,0.0,0.625,0.625
user:retweet_count,0.04026175687666367,0.625,0.5847382431233363
user:follower_to_followee_ratio,0.0,0.625,0.625
user:retweet_ratio,0.0,0.625,0.625
user:HU_TweetNum,0.0,0.625,0.625
user:HU_TweetPercent_Original,-0.023624667258207666,0.625,0.6486246672582077
user:HU_TweetPercent_Retweet,0.0,0.625,0.625
user:HU_AverageInterval_days,0.0,0.625,0.625
user:U_ListedNum,0.0,0.625,0.625
user:U_ProfileUrl,0.0,0.625,0.625
user:U_FollowerNumDay,0.0,0.625,0.625
user:U_FolloweeNumDay,0.0,0.625,0.625
user:U_TweetNumDay,0.0,0.625,0.625
user:U_ListedNumDay,0.0,0.625,0.625
