feature,drop_mean,drop_std
user:U_AccountAge_days,-0.021765653678551444,0.02243794918556227
user:total_posts,-0.019210799074696645,0.04216264257608164
user:followers_count,-0.04113918724609658,0.023739860244746027
user:following_count,-0.022084046044507998,0.021328428144673863
user:verified,0.0007555368657134909,0.013595079029453203
user:posting_frequency,-0.002337542595851344,0.02899788440860195
user:retweet_count,-0.013835292823961037,0.038893605710167305
user:follower_to_followee_ratio,0.026179197937452398,0.031416641853941
user:retweet_ratio,0.021427684721113748,0.024017059601973444
user:HU_TweetNum,0.03555900135025994,0.02524237124183608
user:HU_TweetPercent_Original,-0.04218064966315051,0.03247197599078286
user:HU_TweetPercent_Retweet,-0.059468914282494366,0.03427342013888814
user:HU_AverageInterval_days,0.0384669990788578,0.029493789012397097
user:U_ListedNum,-0.036377026868155186,0.017570476519147216
user:U_ProfileUrl,-0.007701524727203845,0.023154685679291638
user:U_FollowerNumDay,-0.00024765149820124013,0.019281784842716244
user:U_FolloweeNumDay,0.009463241739856687,0.026077322238766232
user:U_TweetNumDay,-0.00022500940868907526,0.024600631704541083
user:U_ListedNumDay,-0.033902966011412516,0.02006390434947775
