feature,drop_F1_mean,drop_F1_std,n_folds,base_F1,abl_F1
user:HU_AverageInterval_days,0.014155324630513855,0.019443847118507513,5,0.6133855033855034,0.5992301787549895
user:U_FollowerNumDay,0.011265884652981418,0.015508626987111354,5,0.6133855033855034,0.602119618732522
user:U_ProfileUrl,0.010339088691133558,0.03055307998795394,5,0.6133855033855034,0.6030464146943698
user:follower_to_followee_ratio,0.0066428371180263564,0.014853835359365727,5,0.6133855033855034,0.6067426662674771
user:posting_frequency,0.0019418644650843087,0.0036222783626816864,5,0.6133855033855034,0.611443638920419
user:total_posts,0.0017365276117923267,0.018796502002767876,5,0.6133855033855034,0.611648975773711
user:HU_TweetPercent_Retweet,0.00118261339623571,0.03832194744249028,5,0.6133855033855034,0.6122028899892676
user:HU_TweetNum,0.0010093772593772865,0.03470852771613084,5,0.6133855033855034,0.612376126126126
user:verified,0.0009521526973166993,0.019869529344635515,5,0.6133855033855034,0.6124333506881866
user:retweet_count,-0.0034255021943772057,0.048074769437783015,5,0.6133855033855034,0.6168110055798806
user:U_TweetNumDay,-0.0038245388245387924,0.013694363822468645,5,0.6133855033855034,0.6172100422100422
user:following_count,-0.0052072268688292175,0.024477533663461056,5,0.6133855033855034,0.6185927302543326
user:U_FolloweeNumDay,-0.006159379566145917,0.013772791409125434,5,0.6133855033855034,0.6195448829516492
user:retweet_ratio,-0.00624660285950609,0.030584006614146234,5,0.6133855033855034,0.6196321062450094
user:U_AccountAge_days,-0.011342501956009943,0.02963105055178639,5,0.6133855033855034,0.6247280053415134
user:HU_TweetPercent_Original,-0.013906649977968599,0.023661749656285907,5,0.6133855033855034,0.627292153363472
user:U_ListedNum,-0.016844808492763597,0.025760283050015823,5,0.6133855033855034,0.630230311878267
user:U_ListedNumDay,-0.017826046232812566,0.026279207904264867,5,0.6133855033855034,0.6312115496183159
user:followers_count,-0.022051540306376283,0.023696847380492776,5,0.6133855033855034,0.6354370436918797
