feature,drop_mean,drop_std
user:U_AccountAge_days,-0.06467301417959309,0.04777573606753011
user:total_posts,-0.007794001431772285,0.03008000432778909
user:followers_count,-0.01376018876018873,0.016749283422370437
user:following_count,-0.0027456027456027377,0.008450786941241914
user:verified,0.0,0.0
user:posting_frequency,-0.03539655326033032,0.06118053995085778
user:retweet_count,-0.0204499723075574,0.025432093903372217
user:follower_to_followee_ratio,0.0,0.0
user:retweet_ratio,-0.019216934758730396,0.04236705241543561
user:HU_TweetNum,-0.010975975975975955,0.02615236156222053
user:HU_TweetPercent_Original,0.007121546579750948,0.03458401108501753
user:HU_TweetPercent_Retweet,0.04212873864576653,0.04742418501817843
user:HU_AverageInterval_days,0.0,0.0
user:U_ListedNum,1.4475060914737048e-05,0.037564931673754264
user:U_ProfileUrl,-0.004118404118404107,0.01005844835095728
user:U_FollowerNumDay,-0.006864006864006844,0.012197660288475484
user:U_FolloweeNumDay,-0.0027456027456027377,0.008450786941241913
user:U_TweetNumDay,-0.017650183191978825,0.0363026861270306
user:U_ListedNumDay,0.013615156030016761,0.027837892522864963
