feature,drop_mean,drop_std
user:U_AccountAge_days,-0.010364615336548028,0.015512419464792145
user:total_posts,-0.035596229565403176,0.02724450706318199
user:followers_count,-0.03667855354716103,0.017497442077137115
user:following_count,-0.036039390119066525,0.02710973777634532
user:verified,0.006667430404399111,0.015981351443034707
user:posting_frequency,-0.004336379850051203,0.02612595630022214
user:retweet_count,-0.03762163499161256,0.025719849862835716
user:follower_to_followee_ratio,0.0,0.0
user:retweet_ratio,-0.04743817577607192,0.01611792859337863
user:HU_TweetNum,-0.0030796897830729585,0.00947908514571204
user:HU_TweetPercent_Original,-0.010601593087206141,0.013363097519933925
user:HU_TweetPercent_Retweet,-0.0030796897830729585,0.00947908514571204
user:HU_AverageInterval_days,-0.018391568335433706,0.015465166694802976
user:U_ListedNum,-0.007767212739145424,0.012172836543916645
user:U_ProfileUrl,-0.00973375061185815,0.016534642081569656
user:U_FollowerNumDay,-0.004880284110436517,0.01430786872641358
user:U_FolloweeNumDay,-0.043969877486793374,0.013515191959579585
user:U_TweetNumDay,-0.013334172492630863,0.04015964294176541
user:U_ListedNumDay,-0.0012363718107227806,0.020587616898719043
