feature,gain
bow:found,4.266658306121826
bow:sad,4.2541728019714355
topic:173,3.7089927196502686
bow:make,3.641124963760376
bow:things,3.6319451332092285
topic:146,3.630746364593506
bow:could,3.5800187587738037
topic:196,3.5272672176361084
bow:full,3.5100879669189453
bow:words,3.4913525581359863
mnum:feel,3.4097836017608643
topic:23,3.1286373138427734
bow:much,3.106741189956665
topic:170,3.056361198425293
bow:getting,3.0004565715789795
bow:thanks,2.9979076385498047
mnum:Dic,2.959721803665161
bow:every,2.9401984214782715
topic:194,2.9241943359375
bow:first,2.7345988750457764
bow:life,2.7070682048797607
bow:sign,2.6885392665863037
bow:win,2.6712546348571777
bow:women,2.641714096069336
topic:36,2.6415212154388428
bow:food,2.450862169265747
topic:120,2.357156753540039
topic:135,2.294224739074707
topic:87,2.2873151302337646
bow:days,2.255342483520508
bow:around,2.219364643096924
mnum:death,2.1782572269439697
bow:happy,2.1385903358459473
topic:42,2.0619003772735596
topic:145,1.9564716815948486
topic:197,1.909037470817566
topic:58,1.8484560251235962
bow:truth,1.8246277570724487
topic:48,1.7774291038513184
mnum:space,1.7601724863052368
bow:never,1.7501835823059082
bow:done,1.7372040748596191
mnum:female,1.6933988332748413
topic:164,1.6932697296142578
topic:181,1.686346411705017
topic:149,1.6761648654937744
bow:call,1.5979264974594116
topic:116,1.5747108459472656
topic:200,1.5609259605407715
mnum:certain,1.5441738367080688
topic:7,1.5040712356567383
topic:189,1.4857738018035889
topic:63,1.4738503694534302
bow:help,1.4696215391159058
bow:always,1.4666328430175781
topic:166,1.43589186668396
mnum:bio,1.3907526731491089
mnum:see,1.3697113990783691
bow:try,1.3529473543167114
mnum:differ,1.3296171426773071
topic:85,1.300135612487793
bow:made,1.2661784887313843
bow:usr usr,1.2589415311813354
mnum:ppron,1.2500293254852295
mnum:verb,1.244380235671997
mnum:hear,1.237903118133545
mnum:compare,1.2233340740203857
topic:76,1.1963748931884766
bow:really,1.1758450269699097
topic:188,1.1704200506210327
topic:39,1.1643271446228027
topic:113,1.157989740371704
topic:199,1.1337100267410278
mnum:health,1.1032971143722534
mnum:affiliation,1.10292387008667
mnum:tentat,1.0907121896743774
mnum:anx,1.066635251045227
topic:75,1.0626347064971924
topic:133,1.0315542221069336
mnum:affect,1.0192396640777588
topic:100,1.0086581707000732
mnum:adverb,0.9440030455589294
mnum:Authentic,0.930695116519928
mnum:focuspresent,0.9215889573097229
mnum:function,0.92097407579422
topic:154,0.9189649224281311
mnum:sad,0.9165692925453186
topic:111,0.8802816867828369
bow:news,0.8792056441307068
topic:68,0.8241122364997864
mnum:focusfuture,0.8225056529045105
topic:184,0.81856769323349
topic:129,0.8178830146789551
mnum:informal,0.8154882192611694
mnum:leisure,0.8024240136146545
topic:176,0.7921377420425415
bow:last,0.7888128757476807
mnum:relativ,0.7826706171035767
mnum:negate,0.7763175964355469
topic:126,0.7713976502418518
