feature,abs_coef_mean,abs_coef_std
posting_frequency,1.6794740467178664,0.7032863450631334
U_ListedNumDay,1.6625900846488768,1.1493929683321102
U_ListedNum,1.510225771235905,1.2308360687558306
following_count,1.188855718797336,0.7981675059392551
retweet_ratio,1.0771779427955033,0.3499673560156738
verified,0.9024314789884984,0.16154678600786085
U_FolloweeNumDay,0.8924121752321555,0.9410915964637342
U_FollowerNumDay,0.8505330891140405,0.8065189256578428
HU_TweetPercent_Original,0.6136692413484683,0.2485897180674899
followers_count,0.5898969751864112,0.8359045063517181
U_AccountAge_days,0.5254093741127236,0.22302348897842583
follower_to_followee_ratio,0.4713877069562994,0.15737403770273886
retweet_count,0.4361960791458494,0.2673811814544821
total_posts,0.4073878147864124,0.5395121992517706
HU_AverageInterval_days,0.3944479158343842,0.22890101757605535
HU_TweetPercent_Retweet,0.35953870977314384,0.14528721817426496
U_ProfileUrl,0.12361049352917383,0.08556077808849319
HU_TweetNum,0.11913374022668395,0.1610113245304156
U_TweetNumDay,0.0,0.0
