fold,block,delta_F1
1,no_bow,0.011098631788287017
1,no_topics,-0.1450462094364533
1,no_msg_numeric,0.10655270655270654
2,no_bow,0.0339998068192795
2,no_topics,-0.12093090446816801
2,no_msg_numeric,0.00419128517015066
3,no_bow,0.03596059113300498
3,no_topics,0.08251929558644622
3,no_msg_numeric,0.06675237998930994
4,no_bow,0.03073069403714568
4,no_topics,0.125
4,no_msg_numeric,-0.09956896551724137
5,no_bow,0.0
5,no_topics,0.028436202067033678
5,no_msg_numeric,0.18995098039215685
