feature,abs_coef
posting_frequency,2.726585959487601
followers_count,1.7789685585990673
following_count,1.7618512283054735
U_FolloweeNumDay,1.455613637526291
U_FollowerNumDay,1.4244767721776213
total_posts,1.3466299679680913
retweet_ratio,0.770503083423778
verified,0.738175864693633
U_ListedNumDay,0.624896273237245
U_AccountAge_days,0.5879020517925212
HU_TweetPercent_Original,0.5232071873714703
HU_AverageInterval_days,0.4589233933116531
U_ListedNum,0.4572532305445757
follower_to_followee_ratio,0.38368365734142007
HU_TweetPercent_Retweet,0.3563411289043629
U_ProfileUrl,0.27242819582796407
retweet_count,0.14779831617562036
HU_TweetNum,0.00010877496370466044
U_TweetNumDay,0.0
