feature,abs_coef
bow:week,57.834305367735915
bow:usr usr url,52.876046139782936
bow:free,39.28077473891825
bow:good,30.580727746312906
bow:india,29.23672765921718
bow:tonight,28.704138658141016
bow:discover,27.948652407264724
bow:video usr,24.287395626031902
bow:check,20.527177285554767
bow:students,20.210668593160698
bow:contest,19.08436139330025
bow:android,18.944641030879747
bow:product,15.287684904617459
bow:photo,13.934415418692774
bow:liked,12.457977781609648
bow:de,11.59900560887476
bow:url url url url,11.4067737820549
bow:beauty,8.922778515671164
bow:petition,6.007198889444225
bow:giveaway,5.99321155066767
bow:politics,5.90673054557042
bow:price,5.898942685640958
bow:truth,5.368528059678732
bow:got,4.881853631595244
mnum:shehe,4.371929786903792
topic:144,3.2695293595258974
topic:95,2.8182449177782525
topic:44,2.7266960129134663
topic:64,2.623039408236317
topic:168,2.6159436459374734
topic:165,2.591363556013602
topic:198,2.505190916132936
topic:17,2.329165946466265
mnum:Analytic,2.1457487070091097
topic:86,2.1398147388756623
topic:38,2.129588126605122
bow:video,2.04338970214838
topic:5,1.8288945026926635
topic:109,1.8129983332365291
topic:190,1.7591495008390012
topic:66,1.7457358770058253
topic:59,1.6876428300739919
bow:usr usr,1.670621522262395
topic:189,1.602857895576633
topic:76,1.5562680764223715
topic:16,1.555211696526674
topic:99,1.5406007764262584
topic:88,1.4840711586460151
topic:186,1.4645564568926124
topic:52,1.4530170532996567
topic:62,1.4298086623818367
topic:142,1.4217347650541547
topic:175,1.414619657073886
topic:141,1.4025733529787854
topic:94,1.3954774043309064
topic:22,1.3849524574029954
topic:177,1.3621925991606296
topic:171,1.3427568830671712
topic:179,1.340932833584846
topic:2,1.322538665975619
topic:57,1.3088682879657265
bow:ufo,1.3042604661140775
mnum:Clout,1.2413182643344896
topic:72,1.2327179784168447
mnum:OtherP,1.2314598873300175
topic:19,1.203011117087614
topic:103,1.1705800888469897
mnum:AllPunc,1.1270955926047497
mnum:filler,1.1257786727022927
topic:132,1.084409831179964
topic:71,1.0835797158017204
topic:151,1.0665437652530434
mnum:Authentic,1.0502495329370125
topic:121,0.9743013632580616
topic:126,0.9500780956686067
topic:21,0.9474069655587746
topic:102,0.9264156438924865
topic:12,0.9203902943281916
topic:130,0.9097909345019014
topic:195,0.9074692108030435
topic:154,0.8925030534275301
topic:160,0.8916401392703017
topic:46,0.884138067631846
mnum:sexual,0.8824108826242378
topic:164,0.8687929151459991
topic:54,0.864039694587332
mnum:i,0.8574581061378485
topic:10,0.847573619144555
topic:117,0.8361126219290812
topic:196,0.8339326335388058
topic:77,0.8322882177610825
topic:192,0.8216420014047517
topic:36,0.7999731850560727
mnum:nonflu,0.7915926555120723
topic:128,0.7857090677362615
topic:120,0.7793421797170441
topic:97,0.775887723023668
topic:63,0.7652257366663411
topic:123,0.7607707549628998
topic:156,0.7570113008419582
