feature,abs_coef
mnum:female,3.5719140088033976
topic:144,2.729987789683694
mnum:shehe,2.725661660788205
topic:44,2.615604507987703
topic:160,2.43825284173584
mnum:Authentic,2.305694467018939
topic:198,2.2733630192123573
topic:57,2.1838768605960888
mnum:WC,2.0795212427567114
mnum:death,2.0718899442082215
topic:179,2.0308980281891187
topic:60,2.025402113085186
topic:120,2.0002320247323864
topic:55,1.951013993278789
mnum:WPS,1.870971076359995
topic:200,1.8559826949797669
topic:182,1.8418143062486225
topic:176,1.8124526183082859
topic:167,1.7617056932653488
topic:180,1.7574358151452427
topic:59,1.653978135849168
topic:185,1.6318294988399689
topic:126,1.6305075760253032
mnum:we,1.6279527578605453
topic:154,1.5745311958202177
topic:64,1.4524690114562735
topic:87,1.423131934457853
topic:67,1.4038354848694017
mnum:conj,1.3658263746443546
topic:22,1.3571901422623185
topic:95,1.293616735476709
mnum:Clout,1.2794157691370653
topic:139,1.2394215707457579
topic:100,1.2053687820405037
topic:36,1.1976216718059618
mnum:space,1.1131964103859742
mnum:filler,1.0777669902956843
topic:171,1.0581596023525401
topic:42,1.0338727316891891
topic:14,1.0264632694639602
mnum:time,0.9978129006616967
topic:165,0.9704391159957506
topic:29,0.9621534873483575
mnum:focusfuture,0.9557219314105829
topic:169,0.9275692895069289
mnum:see,0.7583405431949694
topic:145,0.7438749227011197
mnum:cause,0.721774515325505
topic:24,0.7133227114337058
topic:132,0.6982576335835643
topic:157,0.6844910784770157
topic:80,0.6725117902071448
topic:9,0.6612182942322469
mnum:feel,0.6527593061038097
topic:152,0.6324096919938054
topic:107,0.6293707719983297
topic:90,0.6202213192340702
mnum:OtherP,0.6120664536407516
mnum:informal,0.5475676513817476
topic:109,0.5433718448917095
topic:89,0.5354459560280938
topic:147,0.5331033257388074
topic:88,0.5175660279840647
mnum:discrep,0.5170134962143915
topic:97,0.4973320944885001
topic:94,0.4940015848274414
topic:45,0.47170836064191574
topic:82,0.46498738902967657
topic:96,0.46114053655281034
topic:99,0.4580186110765503
topic:10,0.4548307078456365
topic:196,0.43547646496164977
topic:111,0.41856404171738554
topic:73,0.4160153384212803
mnum:prep,0.41262691947296654
topic:166,0.40401205875820445
topic:177,0.40385643712837244
topic:113,0.39845006913603126
mnum:assent,0.3965980801301028
mnum:compare,0.36609448707740366
topic:40,0.3646571181906457
topic:159,0.35242021223124614
mnum:social,0.34940259050462097
mnum:Sixltr,0.34510266038741805
topic:143,0.3383287032441058
mnum:AllPunc,0.32673862878234494
topic:114,0.2993747249217508
topic:195,0.284755609936263
topic:115,0.2836738924894334
topic:54,0.2722329691522541
mnum:leisure,0.246119756624482
mnum:risk,0.2280890511616272
topic:92,0.2279788717726062
topic:48,0.19684979033238212
mnum:friend,0.19231676403342038
mnum:swear,0.18990782340364243
topic:39,0.18303253830055854
topic:33,0.17091302281238396
topic:6,0.15316286940836063
topic:151,0.15071694493420235
