feature,abs_coef
bow:gets,103.64167864830169
bow:call,66.30316254440916
bow:come,51.48486017009214
bow:speech,45.35847455702911
bow:things,37.20270550585324
bow:wrestling,36.1284448480951
bow:looks,36.087977236326466
bow:free,35.80151362280583
bow:tax,34.83045655023501
bow:bbc,31.45255401925253
bow:url want,31.288293407555404
bow:women,28.796833028232296
bow:india,26.799590616524867
bow:truth,25.171272569210533
bow:evil,24.68865264063685
bow:students,24.21397060513627
bow:photo,23.458779655668323
bow:done,22.14183614578061
bow:za,21.954065095969458
bow:woman,20.940942531600342
bow:ufo,20.882711880689005
bow:discover,20.331915829503235
bow:lake,20.17028487760504
bow:turkey,19.10157281781701
bow:france url,19.017927061064437
bow:moses,18.242843317645338
bow:artificial intelligence,18.20629039004168
bow:los,18.08909683266935
bow:jobs,17.938393433503272
bow:petition,17.919328324536465
bow:mention,17.73089343641318
bow:al,17.359868242731537
bow:url newprofilepic,16.41982371097318
bow:experience,13.976867065101855
bow:hai,13.774954059561649
bow:market,13.707467727892823
bow:good,12.76653137612334
bow:follow,12.467490136042578
bow:nous,12.29356406073874
bow:pour,12.24971244661713
bow:hello twitter,12.122859673636869
bow:flashback,11.561966844429282
bow:ni,10.782333454909958
bow:crypto,10.595549998880156
bow:construction,10.437693862276067
bow:well,10.207530363470966
bow:gt,9.962891204277291
bow:days,9.528235034390766
bow:website url,9.367578520265889
bow:contest,9.195804097461485
bow:check,8.746447357131059
bow:pod,7.654203477259703
bow:url one,7.460159158362941
bow:da,7.355818788412676
bow:usr playlist,7.33559202786127
bow:morning,7.210585564851814
bow:beijing,6.90742026444224
bow:kenya,6.827183054261802
bow:winter,6.417801389070575
bow:veterans,6.0956024894108145
bow:video,6.093537821391399
bow:newprofilepic url,5.666243132780463
bow:tass,5.523980946598421
bow:happy new,5.074753423766896
bow:steps,4.4869924426011405
bow:de la,4.3741117946273915
bow:usr usr,3.1467807862777226
bow:queens,2.957829617007573
bow:uk url,2.9268134768452647
bow:birthday,2.78893232763727
bow:added video,2.405379414426039
bow:un,2.2917838610462833
bow:thank usr,2.046461877526318
bow:website,1.8059362909632934
topic:144,1.786609038656913
topic:86,1.5602525993903587
bow:run,1.5342142663262974
topic:143,1.278023574052919
topic:54,1.192889298365708
bow:trump,1.1898482576460205
topic:186,1.1877779777867394
bow:newprofilepic,1.1657583277363535
topic:158,1.1515409237304246
topic:183,1.1479449613558281
topic:76,1.0984452755607421
topic:22,1.0753725247572823
topic:179,1.0103022008070905
topic:95,1.0024388940813969
topic:167,0.9939894542576568
topic:121,0.9741828736862589
topic:66,0.9717026176758378
mnum:filler,0.9431247617002193
topic:84,0.9392312077954003
topic:82,0.9334630099518637
topic:44,0.9010105377720624
mnum:i,0.8787977961345874
topic:192,0.856204927835738
topic:138,0.8546073447265776
topic:157,0.8428366366596792
topic:6,0.8398336982591373
