feature,abs_coef
bow:days,58.12126087168579
bow:things,55.87973369490069
bow:video usr,43.05914878466796
bow:30,41.817046029409376
bow:evil,40.06856838587938
bow:week,37.04370469639012
bow:ke,34.77882848306904
bow:students,30.535192650098605
bow:trump,27.84104485131692
bow:petition,25.08135038767385
bow:france,24.34941297170689
bow:snow,24.243516206499226
bow:en,23.828762911121252
bow:yet,23.574783181569526
bow:truth,23.418564688416215
bow:000,22.68807972657221
bow:centre,21.51342756900686
bow:years,18.047281414001517
bow:crypto,17.79507110593269
bow:politics,17.567409694702963
bow:thank usr,17.074692761000744
bow:cute,17.04325772386636
bow:usr usr url,16.99408390142162
bow:photo,16.819619023950978
bow:url want,16.660600399600916
bow:liked,15.64616536361362
bow:free url,15.444363839086783
bow:official,14.686401329957002
bow:winter,14.604429368535767
bow:radio,14.476778995391188
bow:capital,14.151776973391318
bow:tonight,14.02237337961092
bow:android,13.386878069681822
bow:ai,12.817109162785782
bow:apps,12.162471276794111
bow:must,11.819214393907687
bow:run,11.370591461040977
bow:via usr url,10.971638507607064
bow:de,10.914154762139226
bow:land,9.040099437341778
bow:followers,8.5945421486882
bow:little,8.457300146289775
bow:website,8.320226194045482
bow:follow,8.254666136143975
bow:ny,8.05298710050315
bow:moon url,8.01115216571247
bow:contest,7.883884261619792
bow:back,7.544342120118222
bow:lt,7.343193127654757
bow:la,7.300976423949191
bow:ufo,7.202102672525639
bow:usr usr,6.918284734927136
bow:apply,6.898378640714441
bow:seem,5.321368055740549
bow:ko,5.058021812616473
bow:gt,3.821445608519992
bow:lo,3.422514345321419
bow:never,2.6868747717320174
bow:woman,2.6102276162350773
bow:women,2.4780487166309184
bow:price,2.366305968808339
bow:taken,2.241237121228076
bow:year,2.1724548937258983
bow:url url url,2.1078642467858177
topic:144,1.977076583347801
topic:186,1.814367196781959
topic:178,1.7460272848307052
topic:86,1.591389864311158
mnum:Clout,1.4846937381266123
bow:situation,1.4794536878674165
mnum:shehe,1.3989229183605039
topic:44,1.3892090985711367
topic:134,1.3601571683536338
topic:35,1.3073584086840566
bow:dan,1.272228739878094
topic:115,1.1254013803342546
topic:175,1.1251592971308966
topic:88,1.0494875248145674
topic:66,1.037111274806117
topic:5,1.03370504507536
topic:57,1.0306206058885052
topic:167,0.9924412433417827
topic:97,0.9880376483857127
topic:190,0.9744616694508427
mnum:i,0.9522566276807768
topic:76,0.9234224372313278
topic:2,0.8880758391905065
bow:amp,0.8718848262995743
topic:179,0.8717506097847297
topic:193,0.8555143962110369
bow:marvel,0.8541251191685846
topic:14,0.8442743636218771
topic:151,0.8383621350968665
topic:158,0.8358855552120185
topic:77,0.8192702998159213
topic:64,0.8172277249701349
topic:39,0.8130849526901894
topic:123,0.7743010295971546
topic:22,0.7705389382335983
mnum:Analytic,0.76367959774949
