fold,family,P,R,F1
1,BERT (H),0.625,0.5992647058823529,0.5814634146341464
2,BERT (H),0.42727272727272725,0.4375,0.41700404858299595
3,BERT (H),0.5166666666666666,0.503921568627451,0.3992490613266583
4,BERT (H),0.4392156862745098,0.4392156862745098,0.4375
5,BERT (H),0.30454545454545456,0.33137254901960783,0.3107692307692308
