feature,n_folds,selected_frac,sign_consistency,mean_abs_drop,mean_drop,majority_sign,score
topic:146,5,1.0,0.8,0.10371975685655932,0.049672470809273284,1,0.08297580548524747
topic:171,5,1.0,1.0,0.027157065972855443,0.027157065972855443,1,0.027157065972855443
topic:92,5,1.0,1.0,0.026529563755430897,0.026529563755430897,1,0.026529563755430897
topic:70,5,1.0,0.8,0.03250854527806457,-0.006597614103975502,-1,0.02600683622245166
topic:1,5,1.0,0.8,0.02801173495152399,0.015719457336665722,1,0.022409387961219194
topic:29,5,1.0,1.0,0.021865596144094855,0.021865596144094855,1,0.021865596144094855
topic:113,4,0.8,1.0,0.022930357867777668,0.022930357867777668,1,0.018344286294222134
topic:127,5,1.0,0.8,0.016531075508155312,0.004238797893297041,1,0.01322486040652425
topic:93,3,0.6,1.0,0.008564727954971874,0.008564727954971874,1,0.005138836772983124
topic:76,3,0.6,1.0,0.007773279352226732,0.007773279352226732,1,0.004663967611336039
