feature,n_folds,selected_frac,sign_consistency,mean_abs_drop,mean_drop,majority_sign,score
topic:146,5,1.0,0.8,0.10371975685655932,0.049672470809273284,1,0.08297580548524747
topic:185,5,1.0,0.6,0.057461434468996674,0.0013373155237426325,1,0.034476860681398006
topic:37,5,1.0,0.6,0.055562666269909314,-0.006613167384102692,1,0.033337599761945585
topic:111,5,1.0,0.6,0.05101173495152397,0.012463047080255463,1,0.03060704097091438
topic:171,5,1.0,1.0,0.027157065972855443,0.027157065972855443,1,0.027157065972855443
topic:92,5,1.0,1.0,0.026529563755430897,0.026529563755430897,1,0.026529563755430897
topic:70,5,1.0,0.8,0.03250854527806457,-0.006597614103975502,-1,0.02600683622245166
topic:199,5,1.0,0.6,0.038556217345301944,-0.016229987395062383,1,0.023133730407181165
topic:1,5,1.0,0.8,0.02801173495152399,0.015719457336665722,1,0.022409387961219194
topic:29,5,1.0,1.0,0.021865596144094855,0.021865596144094855,1,0.021865596144094855
topic:129,5,1.0,0.6,0.033482720106719654,0.0046074465404443935,1,0.020089632064031793
topic:113,4,0.8,1.0,0.022930357867777668,0.022930357867777668,1,0.018344286294222134
topic:15,5,1.0,0.6,0.024822573483863807,-0.004052700082411454,1,0.014893544090318284
topic:163,3,0.6,0.6666666666666666,0.03342064226338006,0.01293351290528294,1,0.013368256905352023
topic:127,5,1.0,0.8,0.016531075508155312,0.004238797893297041,1,0.01322486040652425
topic:18,4,0.8,0.5,0.03102821685482976,-0.005065875103014317,1,0.012411286741931905
topic:189,2,0.4,1.0,0.025962341751815443,0.025962341751815443,1,0.010384936700726178
topic:102,1,0.2,1.0,0.051924683503630886,0.051924683503630886,1,0.010384936700726178
topic:184,1,0.2,1.0,0.041457489878542475,-0.041457489878542475,-1,0.008291497975708495
topic:40,1,0.2,1.0,0.041457489878542475,-0.041457489878542475,-1,0.008291497975708495
topic:149,1,0.2,1.0,0.039796747967479784,0.039796747967479784,1,0.007959349593495956
topic:7,2,0.4,0.5,0.028738158393330798,-0.012719331485211677,1,0.00574763167866616
topic:93,3,0.6,1.0,0.008564727954971874,0.008564727954971874,1,0.005138836772983124
topic:141,1,0.2,1.0,0.02561265719160455,0.02561265719160455,1,0.00512253143832091
topic:75,2,0.4,1.0,0.011659919028340099,0.011659919028340099,1,0.00466396761133604
topic:76,3,0.6,1.0,0.007773279352226732,0.007773279352226732,1,0.004663967611336039
topic:39,2,0.4,0.5,0.01536534701857284,-0.01536534701857284,1,0.003073069403714568
topic:126,1,0.2,1.0,0.0,0.0,1,0.0
topic:44,1,0.2,1.0,0.0,0.0,1,0.0
topic:50,1,0.2,1.0,0.0,0.0,1,0.0
topic:83,1,0.2,1.0,0.0,0.0,1,0.0
topic:99,1,0.2,1.0,0.0,0.0,1,0.0
