fold,family,P_macro,R_macro,F1_macro
1,Users,0.7277777777777777,0.7261029411764706,0.7262672811059908
1,Message,0.48333333333333334,0.4834558823529412,0.48294930875576036
1,Fusion,0.6818181818181819,0.6617647058823529,0.6552706552706553
2,Users,0.8809523809523809,0.84375,0.8398398398398399
2,Message,0.4365079365079365,0.4375,0.43529411764705883
2,Fusion,0.8116883116883117,0.78125,0.7757757757757757
3,Users,0.3764705882352941,0.3764705882352941,0.375
3,Message,0.5912698412698413,0.5901960784313726,0.5901477832512315
3,Fusion,0.45833333333333337,0.4607843137254902,0.45545545545545546
4,Users,0.5019607843137255,0.5019607843137255,0.5
4,Message,0.40625,0.40588235294117647,0.4056695992179863
4,Fusion,0.46875,0.46862745098039216,0.4682306940371457
5,Users,0.725,0.7117647058823529,0.7117117117117118
5,Message,0.5277777777777778,0.5274509803921569,0.5270935960591133
5,Fusion,0.7182539682539683,0.7156862745098038,0.716256157635468
