fold,family,P,R,F1
1,BERT (T),0.6396103896103896,0.6331269349845201,0.6317859952793077
2,BERT (T),0.7389162561576355,0.6501547987616099,0.625
3,BERT (T),0.7491638795986622,0.7306501547987616,0.71875
4,BERT (T),0.4375,0.456656346749226,0.4178723404255319
5,BERT (T),0.53,0.524671052631579,0.5104895104895105
