fold,feature,delta_F1
1,HU_TweetNum,0.0
1,HU_TweetPercent_Retweet,0.05743525480367584
1,HU_AverageInterval_days,0.061111111111111116
1,U_AccountAge_days,-0.03274826550688614
1,U_FolloweeNumDay,-0.10185185185185186
1,followers_count,-0.03274826550688614
1,following_count,-0.061111111111111116
1,posting_frequency,-0.06662489557226392
1,retweet_count,-0.02900665642601119
1,retweet_ratio,-0.03274826550688614
2,HU_TweetNum,0.0
2,HU_TweetPercent_Retweet,0.0
2,HU_AverageInterval_days,0.0037348272642390157
2,U_AccountAge_days,0.05835100571942675
2,U_FolloweeNumDay,0.09677066228790365
2,followers_count,0.08771672771672767
2,following_count,0.05835100571942675
2,posting_frequency,0.03371647509578546
2,retweet_count,0.0037348272642390157
2,retweet_ratio,0.0
3,HU_TweetNum,0.0
3,HU_TweetPercent_Retweet,-0.04059379217273956
3,HU_AverageInterval_days,0.0
3,U_AccountAge_days,0.011567379988432658
3,U_FolloweeNumDay,0.011567379988432658
3,followers_count,0.011567379988432658
3,following_count,0.0
3,posting_frequency,0.07505944348049615
3,retweet_count,0.038451406872459515
3,retweet_ratio,0.038451406872459515
4,HU_TweetNum,-0.02279926985809344
4,HU_TweetPercent_Retweet,0.039945828181122245
4,HU_AverageInterval_days,0.006564199667647874
4,U_AccountAge_days,0.06961838685976618
4,U_FolloweeNumDay,0.035464035464035426
4,followers_count,-0.05648998752447032
4,following_count,0.006564199667647874
4,posting_frequency,0.039945828181122245
4,retweet_count,-0.028028028028028062
4,retweet_ratio,0.039945828181122245
5,HU_TweetNum,0.0
5,HU_TweetPercent_Retweet,0.07290624751925057
5,HU_AverageInterval_days,0.03559835138782508
5,U_AccountAge_days,-0.009446693657219951
5,U_FolloweeNumDay,-0.028465712676239097
5,followers_count,-0.052583948559180804
5,following_count,-0.037139001349527634
5,posting_frequency,0.040142797311581324
5,retweet_count,0.0064263222157958655
5,retweet_ratio,0.04236171298989633
