feature,gain
topic:68,9.720044136047363
bow:make,7.803762435913086
topic:192,7.226234436035156
bow:today,6.871516227722168
topic:72,6.844947814941406
bow:19,5.9499735832214355
bow:watch,5.4184465408325195
bow:amp,5.175602912902832
bow:would,5.091768264770508
bow:birthday,5.080822944641113
topic:83,5.080813407897949
mnum:ppron,5.001467704772949
bow:war,4.993080139160156
topic:38,4.377866268157959
mnum:you,4.039881706237793
bow:get,3.7822775840759277
topic:182,3.7192435264587402
topic:1,3.6750330924987793
bow:thought,2.998631477355957
topic:107,2.8913586139678955
bow:give,2.850468158721924
topic:65,2.775893449783325
bow:like,2.7368674278259277
bow:comes,2.5567944049835205
topic:190,2.4545998573303223
bow:happy,2.448019504547119
mnum:certain,2.405012369155884
topic:29,2.348094940185547
mnum:risk,2.346937656402588
mnum:function,2.3387339115142822
bow:usr url,2.2670862674713135
topic:146,2.262228012084961
bow:world,2.1777820587158203
bow:day,2.1488399505615234
user:posting_frequency,1.9874193668365479
mnum:anx,1.8870067596435547
mnum:ipron,1.771069884300232
topic:20,1.7646656036376953
mnum:cause,1.6499760150909424
mnum:focuspast,1.617678165435791
topic:129,1.609368085861206
user:U_AccountAge_days,1.5643653869628906
mnum:ingest,1.5294500589370728
mnum:focuspresent,1.47835373878479
topic:127,1.4042317867279053
mnum:discrep,1.3915835618972778
bow:url via,1.37888765335083
mnum:leisure,1.3190048933029175
topic:39,1.3045951128005981
mnum:space,1.3045461177825928
mnum:relativ,1.3016045093536377
mnum:number,1.2801406383514404
bow:true,1.27508544921875
mnum:Sixltr,1.2154473066329956
mnum:Clout,1.2090153694152832
mnum:netspeak,1.1991536617279053
mnum:affiliation,1.1832749843597412
topic:200,1.1385679244995117
mnum:see,1.1302379369735718
mnum:cogproc,1.1289900541305542
topic:166,1.093144416809082
user:HU_AverageInterval_days,1.0735868215560913
user:followers_count,1.069232702255249
user:retweet_ratio,1.0650941133499146
mnum:social,0.9738824963569641
mnum:power,0.9561644792556763
bow:via usr,0.9498226642608643
topic:154,0.9352746605873108
topic:70,0.9349271059036255
mnum:adverb,0.8663933277130127
topic:93,0.8624444007873535
topic:149,0.8487931489944458
topic:67,0.8426872491836548
user:HU_TweetPercent_Retweet,0.8386645317077637
topic:50,0.8344929814338684
mnum:money,0.809622585773468
topic:92,0.7788042426109314
user:U_FolloweeNumDay,0.7768245339393616
mnum:posemo,0.7451808452606201
mnum:Dic,0.732525110244751
mnum:time,0.7217020392417908
mnum:hear,0.696620762348175
mnum:work,0.69259113073349
mnum:informal,0.6917604804039001
mnum:reward,0.6914973855018616
mnum:achieve,0.680824339389801
mnum:percept,0.6650181412696838
mnum:verb,0.621844470500946
mnum:anger,0.6075809001922607
mnum:affect,0.6067747473716736
bow:one,0.6010034084320068
mnum:negemo,0.5622115135192871
mnum:WC,0.49522703886032104
topic:111,0.4946523606777191
mnum:drives,0.48413243889808655
user:following_count,0.4724648594856262
mnum:adj,0.466129869222641
user:retweet_count,0.4541841149330139
mnum:relig,0.4459370970726013
mnum:insight,0.4381612539291382
