feature,gain
bow:days,5.177655220031738
bow:19,4.843008995056152
topic:156,4.644965648651123
topic:25,3.730034589767456
bow:next,3.7265329360961914
topic:61,3.464534282684326
mnum:sexual,3.4450082778930664
topic:179,3.3857898712158203
bow:remember,3.3222384452819824
bow:today,3.191648006439209
bow:18,3.08437442779541
mnum:ppron,2.9609248638153076
bow:good,2.8618035316467285
bow:fire,2.778257369995117
bow:says,2.571760654449463
bow:live,2.440992832183838
bow:make,2.4013307094573975
topic:146,2.375753402709961
bow:news,2.353548049926758
topic:177,2.3138647079467773
mnum:death,2.2472426891326904
bow:would,2.132906198501587
topic:127,1.961202621459961
topic:196,1.9518814086914062
bow:go,1.9049311876296997
bow:ready,1.8884756565093994
mnum:time,1.751909852027893
topic:129,1.733945608139038
bow:years,1.7308673858642578
topic:7,1.6352005004882812
mnum:cause,1.591738224029541
bow:know,1.5815892219543457
mnum:feel,1.5692567825317383
mnum:ingest,1.529211163520813
mnum:negemo,1.5020389556884766
bow:new,1.4414081573486328
topic:38,1.4256844520568848
topic:92,1.4150702953338623
topic:27,1.3886467218399048
mnum:insight,1.355534315109253
mnum:anx,1.3375157117843628
mnum:verb,1.1977366209030151
bow:one,1.1514782905578613
bow:want,1.1377654075622559
topic:39,1.1023060083389282
mnum:space,1.0899337530136108
topic:113,1.0808812379837036
mnum:money,1.0615413188934326
bow:home,1.0477681159973145
topic:83,1.0211671590805054
mnum:tentat,0.9803600311279297
mnum:ipron,0.9775583148002625
topic:37,0.9438217282295227
mnum:affect,0.9354729652404785
topic:72,0.934715747833252
mnum:quant,0.9243674874305725
mnum:percept,0.897731363773346
topic:10,0.8601641654968262
mnum:number,0.8419711589813232
mnum:focuspresent,0.841597855091095
mnum:cogproc,0.807977557182312
mnum:see,0.8068493008613586
topic:1,0.7935349345207214
topic:126,0.7894458770751953
mnum:drives,0.7720513939857483
mnum:WPS,0.7632529735565186
topic:155,0.7562606930732727
mnum:achieve,0.7524212598800659
mnum:Clout,0.7518460750579834
mnum:body,0.7456086277961731
mnum:power,0.7433080673217773
mnum:focuspast,0.7239558100700378
topic:15,0.7006504535675049
mnum:male,0.6826797127723694
mnum:informal,0.6759093403816223
topic:111,0.6721159815788269
bow:via,0.6426186561584473
mnum:Authentic,0.6358330249786377
bow:free,0.6280510425567627
mnum:work,0.621424674987793
mnum:relativ,0.6174062490463257
mnum:WC,0.6056106686592102
topic:20,0.6025605201721191
mnum:certain,0.5877531170845032
topic:105,0.5870861411094666
mnum:friend,0.5861306190490723
topic:70,0.5486150979995728
mnum:posemo,0.5419592261314392
mnum:Tone,0.5404304265975952
topic:40,0.5306345820426941
topic:51,0.5297809839248657
mnum:function,0.5228294730186462
mnum:compare,0.5131822824478149
topic:135,0.5057207942008972
topic:48,0.5011671781539917
topic:185,0.49915334582328796
mnum:bio,0.48743388056755066
topic:76,0.48490461707115173
topic:107,0.48375269770622253
mnum:leisure,0.44155648350715637
