feature,gain
bow:today,8.460088729858398
bow:19,7.355647087097168
bow:students,5.846277236938477
mnum:anx,5.131359100341797
topic:68,4.1557297706604
topic:164,4.0269880294799805
bow:good,3.9644646644592285
topic:116,3.919677257537842
topic:33,3.4955081939697266
mnum:friend,3.2861814498901367
bow:news,3.2236878871917725
topic:184,3.1101038455963135
mnum:female,3.045130729675293
bow:hope,2.9240002632141113
bow:make,2.8501341342926025
bow:live,2.8470611572265625
topic:146,2.7805747985839844
mnum:quant,2.474417209625244
user:HU_AverageInterval_days,2.432307243347168
topic:129,2.200861930847168
bow:years,2.1848878860473633
topic:67,2.092393636703491
bow:show,2.073648452758789
user:U_AccountAge_days,2.070646286010742
bow:home,1.9910919666290283
mnum:cause,1.9676662683486938
bow:new,1.9563170671463013
bow:two,1.9321727752685547
mnum:cogproc,1.9145361185073853
topic:127,1.875010371208191
topic:38,1.7414354085922241
mnum:pronoun,1.7334929704666138
topic:50,1.6797513961791992
mnum:adj,1.668431282043457
user:posting_frequency,1.6374311447143555
topic:72,1.6108063459396362
mnum:you,1.5967671871185303
topic:48,1.5359208583831787
mnum:tentat,1.496302843093872
topic:154,1.44295072555542
mnum:discrep,1.375956654548645
mnum:ipron,1.2917840480804443
topic:155,1.2519233226776123
topic:100,1.2202234268188477
mnum:focuspresent,1.2027941942214966
topic:182,1.1952719688415527
bow:would,1.1928062438964844
mnum:time,1.1916674375534058
topic:25,1.1860119104385376
topic:40,1.1603662967681885
user:retweet_ratio,1.1547577381134033
mnum:function,1.104377031326294
mnum:insight,1.0838452577590942
mnum:health,1.0352224111557007
mnum:auxverb,1.0328702926635742
mnum:work,1.0307129621505737
bow:help,1.0144059658050537
mnum:ingest,1.0130398273468018
topic:70,0.9852514266967773
mnum:space,0.9817634224891663
mnum:prep,0.9767768979072571
mnum:ppron,0.9468352794647217
topic:107,0.9075966477394104
topic:1,0.8933112025260925
user:retweet_count,0.8791852593421936
mnum:money,0.8612688183784485
mnum:number,0.8462193608283997
mnum:affiliation,0.8437220454216003
topic:39,0.8344003558158875
user:HU_TweetPercent_Retweet,0.82925945520401
topic:196,0.8139533996582031
mnum:informal,0.7714709043502808
mnum:nonflu,0.7665046453475952
topic:92,0.7509905695915222
bow:say,0.7024612426757812
mnum:see,0.6889762282371521
user:followers_count,0.6864634156227112
mnum:bio,0.684762716293335
mnum:achieve,0.6724660992622375
topic:111,0.6671531200408936
mnum:Dic,0.6667882800102234
mnum:anger,0.6587284207344055
mnum:affect,0.6569726467132568
mnum:relativ,0.6449385285377502
topic:185,0.6397261023521423
mnum:percept,0.6251844763755798
user:following_count,0.5829296708106995
mnum:Authentic,0.5818648934364319
mnum:verb,0.5698269605636597
topic:37,0.5559098720550537
bow:believe,0.5551233291625977
user:U_FolloweeNumDay,0.5379676818847656
bow:like,0.5370967984199524
mnum:focuspast,0.4965726435184479
mnum:power,0.49095550179481506
mnum:hear,0.48308995366096497
mnum:focusfuture,0.46615898609161377
mnum:assent,0.46332791447639465
mnum:posemo,0.46247443556785583
mnum:Tone,0.4391016364097595
