feature,gain_mean,gain_std
posting_frequency,0.9890352964401246,0.1485552799748019
HU_TweetNum,0.9379986226558685,0.057426724823185046
U_AccountAge_days,0.7539237260818481,0.1982331659900658
HU_TweetPercent_Retweet,0.7241038620471955,0.14577252516487837
following_count,0.6956581592559814,0.19276735989464797
retweet_ratio,0.68447185754776,0.11261574466789565
retweet_count,0.6466676592826843,0.10775343854343622
HU_AverageInterval_days,0.6431920170783997,0.056147720029206996
followers_count,0.608911144733429,0.08716522004056124
U_FolloweeNumDay,0.5527228057384491,0.07094829521378036
