fold,feature,drop
1,topic:111,49.068205527961254
1,topic:70,48.87746977689676
1,topic:129,48.83940518624149
1,topic:37,46.51560778450221
1,topic:185,40.17104084417224
1,topic:146,27.13467002636753
1,topic:171,24.808958616573364
1,topic:15,20.44032776867971
1,topic:199,18.60101420711726
1,topic:1,14.714774457272142
1,topic:113,13.346619385061786
1,topic:18,13.342868551146239
1,topic:127,13.338022560812533
1,topic:75,12.542435833252966
1,topic:76,12.418274134397507
1,topic:27,12.137938875239342
1,topic:40,11.364441662561148
1,topic:92,11.36184556921944
1,topic:29,10.793331959750503
1,topic:7,10.622277150861919
1,topic:39,9.367382297758013
1,topic:93,8.92635741038248
1,topic:153,8.797958598006517
1,topic:149,8.459887605626136
1,topic:48,8.309747823979706
1,topic:189,7.567004473879933
1,topic:163,7.410512170521542
1,topic:89,7.1687069572508335
1,topic:107,7.136876886710525
1,topic:181,7.122198945842683
1,topic:155,6.238318143878132
1,topic:83,6.148554087150842
1,topic:154,6.038158882409334
1,topic:38,5.845266722142696
1,topic:102,5.815677650272846
1,topic:116,5.618190070614219
1,topic:50,5.561561209149659
1,topic:184,5.435256931465119
1,topic:135,5.328585254959762
1,topic:51,5.297646217979491
1,topic:99,5.2477562739513814
1,topic:105,5.114532316569239
1,topic:91,4.929021831601858
1,topic:193,4.755885785911232
1,topic:103,4.315764356404543
1,topic:87,4.312460891669616
1,topic:161,4.27366241812706
1,topic:190,4.18594433227554
1,topic:182,4.177744593471289
1,topic:3,3.78465723618865
1,topic:96,3.7773019056767225
1,topic:72,3.748316847253591
1,topic:133,3.7066018264740705
1,topic:20,3.473043751437217
1,topic:164,3.377545149065554
1,topic:131,3.3368154345080256
1,topic:34,3.308216415345669
1,topic:156,3.2589400513097644
1,topic:61,3.204308698885143
1,topic:33,3.041452119126916
1,topic:188,3.0206234622746706
1,topic:85,2.9900487642735243
1,topic:68,2.965948912780732
1,topic:128,2.944067783653736
1,topic:109,2.9295883788727224
1,topic:126,2.9104164680466056
1,topic:176,2.879929048009217
1,topic:110,2.8533050287514925
1,topic:36,2.7650763909332454
1,topic:64,2.7646133876405656
1,topic:21,2.678026462905109
1,topic:79,2.589424654841423
1,topic:58,2.493222726508975
1,topic:59,2.4827616987749934
1,topic:134,2.4577639657072723
1,topic:108,2.371935497969389
1,topic:25,2.3577890573069453
1,topic:145,2.2464946936815977
1,topic:23,2.18576449342072
1,topic:56,2.101231498643756
1,topic:194,1.9467781446874142
1,topic:175,1.9120134701952338
1,topic:49,1.8889454053714871
1,topic:65,1.8761923108249903
1,topic:120,1.8528486238792539
1,topic:67,1.8474764171987772
1,topic:195,1.8268038174137473
1,topic:142,1.8103406843729317
1,topic:118,1.7199961245059967
1,topic:180,1.7028970220126212
1,topic:31,1.6893909182399511
1,topic:177,1.667749099433422
1,topic:63,1.6547003937885165
1,topic:47,1.6416547922417521
1,topic:150,1.599973655771464
1,topic:139,1.386660530231893
1,topic:159,1.2559345830231905
1,topic:45,1.255059608258307
1,topic:136,1.2406136747449636
1,topic:187,1.2293561697006226
1,topic:197,1.17130511905998
1,topic:28,1.1668846542015672
1,topic:24,1.1527463030070066
1,topic:200,1.144212357699871
1,topic:104,1.140384360216558
1,topic:11,1.1311132297851145
1,topic:170,1.087733207270503
1,topic:55,1.0553590445779264
1,topic:46,1.0541639374569058
1,topic:53,1.0348385190591216
1,topic:117,1.001731573138386
1,topic:17,1.0014189397916198
1,topic:78,1.0012035863474011
1,topic:6,0.971135227009654
1,topic:101,0.9672498642466962
1,topic:10,0.8722806656733155
1,topic:52,0.8447834737598896
1,topic:4,0.8226920813322067
1,topic:90,0.8191962726414204
1,topic:42,0.7958126049488783
1,topic:94,0.7901890920475125
1,topic:69,0.7793191764503717
1,topic:121,0.7790073873475194
1,topic:73,0.7742034331895411
1,topic:169,0.7353983512148261
1,topic:44,0.7232033954933286
1,topic:114,0.7188054025173187
1,topic:172,0.7127049714326859
1,topic:77,0.6971145463176072
1,topic:140,0.6954448437318206
1,topic:141,0.6742612654343247
1,topic:196,0.6644314425066113
1,topic:41,0.6494338763877749
1,topic:98,0.6440224265679717
1,topic:166,0.6426919046789408
1,topic:168,0.6415702076628804
1,topic:160,0.6371641233563423
1,topic:74,0.6028739074245095
1,topic:148,0.5964702237397432
1,topic:119,0.5795211410149932
1,topic:173,0.5468019861727953
1,topic:162,0.49046544916927814
1,topic:71,0.48467829171568155
1,topic:147,0.47525598108768463
1,topic:12,0.4664298240095377
1,topic:152,0.4650227106176317
1,topic:100,0.464983306825161
1,topic:54,0.45252639800310135
1,topic:137,0.41302019264549017
1,topic:192,0.40582374669611454
1,topic:183,0.4006155552342534
1,topic:30,0.37407552637159824
1,topic:144,0.3548670029267669
1,topic:165,0.3492778167128563
1,topic:14,0.33913325518369675
1,topic:22,0.28270670864731073
1,topic:57,0.2581011764705181
1,topic:80,0.23835350573062897
1,topic:13,0.23246233258396387
1,topic:132,0.22927255555987358
1,topic:8,0.22682289592921734
1,topic:81,0.1894906908273697
1,topic:62,0.15767863392829895
1,topic:97,0.1509755253791809
1,topic:115,0.1443548947572708
1,topic:5,0.14336215239018202
1,topic:26,0.1391679234802723
1,topic:123,0.12360025197267532
1,topic:95,0.10608777217566967
1,topic:16,0.09687496069818735
1,topic:179,0.0833846041932702
1,topic:112,0.07790995761752129
1,topic:157,0.07266318425536156
1,topic:19,0.0579566340893507
1,topic:178,0.053946759551763535
1,topic:32,0.05258363392204046
1,topic:60,0.05190387740731239
1,topic:191,0.030742785893380642
1,topic:88,0.019481700845062733
1,topic:122,0.017918424680829048
2,topic:37,20.3176616950077
2,topic:185,18.865992307197303
2,topic:70,18.535180329636205
2,topic:111,17.110783318115864
2,topic:129,16.01626720611239
2,topic:146,10.335930476081558
2,topic:171,7.814551725517958
2,topic:15,7.475008173030801
2,topic:199,6.003644968615845
2,topic:18,5.979382710182108
2,topic:1,5.6703345068963245
2,topic:39,5.08297709969338
2,topic:92,4.898850081837736
2,topic:127,4.729712434404064
2,topic:40,4.503263261984102
2,topic:93,4.3535008379258215
2,topic:149,3.754039182444103
2,topic:189,3.694532791734673
2,topic:89,3.5289153690682724
2,topic:75,3.509830990456976
2,topic:29,3.46595337492181
2,topic:27,3.1636531763942912
2,topic:182,3.057589339092374
2,topic:48,2.8602824307745323
2,topic:7,2.8192540544550866
2,topic:176,2.7388840446947142
2,topic:91,2.584499732358381
2,topic:83,2.5533475674455985
2,topic:163,2.5058784793363884
2,topic:87,2.4983492783503607
2,topic:177,2.4070771883707494
2,topic:153,2.3889772386755794
2,topic:184,2.353713324526325
2,topic:113,2.328591058612801
2,topic:76,2.222250556340441
2,topic:154,1.8723933045985177
2,topic:190,1.814524274552241
2,topic:181,1.7727080716285855
2,topic:50,1.730309079401195
2,topic:134,1.7085467929719016
2,topic:105,1.6230197928380221
2,topic:36,1.5979319693287835
2,topic:133,1.5841852904995903
2,topic:8,1.5717363238800317
2,topic:183,1.549332904163748
2,topic:20,1.4931991340126842
2,topic:116,1.4752535477746278
2,topic:156,1.4709237748757005
2,topic:194,1.460767591604963
2,topic:128,1.4489150730660185
2,topic:96,1.4102043670136482
2,topic:193,1.3984956229105592
2,topic:55,1.3954235552810133
2,topic:161,1.3478600063826889
2,topic:85,1.2938402625732124
2,topic:99,1.2913623488275334
2,topic:197,1.2768607080215588
