fold,cluster,saliency
2,37,20.3176616950077
2,185,18.865992307197303
2,70,18.535180329636205
2,111,17.110783318115864
2,129,16.01626720611239
2,146,10.335930476081558
2,171,7.814551725517958
2,15,7.475008173030801
2,199,6.003644968615845
2,18,5.979382710182108
2,1,5.6703345068963245
2,39,5.08297709969338
2,92,4.898850081837736
2,127,4.729712434404064
2,40,4.503263261984102
2,93,4.3535008379258215
2,149,3.754039182444103
2,189,3.694532791734673
2,89,3.5289153690682724
2,75,3.509830990456976
2,29,3.46595337492181
2,27,3.1636531763942912
2,182,3.057589339092374
2,48,2.8602824307745323
2,7,2.8192540544550866
2,176,2.7388840446947142
2,91,2.584499732358381
2,83,2.5533475674455985
2,163,2.5058784793363884
2,87,2.4983492783503607
2,177,2.4070771883707494
2,153,2.3889772386755794
2,184,2.353713324526325
2,113,2.328591058612801
2,76,2.222250556340441
2,154,1.8723933045985177
2,190,1.814524274552241
2,181,1.7727080716285855
2,50,1.730309079401195
2,134,1.7085467929719016
2,105,1.6230197928380221
2,36,1.5979319693287835
2,133,1.5841852904995903
2,8,1.5717363238800317
2,183,1.549332904163748
2,20,1.4931991340126842
2,116,1.4752535477746278
2,156,1.4709237748757005
2,194,1.460767591604963
2,128,1.4489150730660185
2,96,1.4102043670136482
2,193,1.3984956229105592
2,55,1.3954235552810133
2,161,1.3478600063826889
2,85,1.2938402625732124
2,99,1.2913623488275334
2,197,1.2768607080215588
2,51,1.2680028695613146
2,164,1.25671516219154
2,30,1.2389072463847697
2,131,1.2349783971440047
2,63,1.2304039339069277
2,11,1.1834303932264447
2,56,1.1586799819488078
2,52,1.1449258024804294
2,38,1.1175560711417347
2,126,1.0230549587868154
2,34,1.0210530140902847
2,25,1.0150763490237296
2,68,1.0062018816825002
2,139,0.9840097879059613
2,28,0.9810601635836065
2,188,0.9769787155091763
2,102,0.9664327373029664
2,67,0.9590641558170319
2,107,0.9554904091637582
2,120,0.9140639170072973
2,155,0.8729935309384018
2,100,0.8663401880767196
2,145,0.8636580961756408
2,3,0.8423196552321315
2,45,0.8068015798926353
2,109,0.8021059066522866
2,195,0.796650318428874
2,169,0.7913575386628509
2,135,0.763464912539348
2,79,0.762138360645622
2,58,0.7497962516499683
2,108,0.7458300087600946
2,110,0.7172754420898855
2,196,0.7050161230145022
2,141,0.6836329610086977
2,59,0.6816138406284153
2,200,0.6666087312623858
2,73,0.653127891710028
2,49,0.6245681862346828
2,72,0.6149191149743274
2,6,0.5942718582227826
2,170,0.565613154321909
2,118,0.5548143917694688
2,64,0.5233721319818869
2,168,0.520375989144668
2,175,0.5158106493763626
2,10,0.5021934213582426
2,117,0.48532218544278294
2,61,0.4802953815087676
2,137,0.47951843426562846
2,42,0.47631665994413197
2,112,0.4707801416516304
2,57,0.4649216406978667
2,142,0.4541966005926952
2,62,0.4533326681703329
2,147,0.44809159240685403
2,78,0.4408088428899646
2,173,0.4390765493735671
2,47,0.40666283830069005
2,180,0.3916279594413936
2,94,0.3830151786096394
2,95,0.3766638624947518
2,136,0.37389374268241227
2,157,0.3738740608096123
2,69,0.3652070283424109
2,103,0.35844725416973233
2,172,0.34692039526998997
2,121,0.3442650866927579
2,5,0.33579521952196956
2,166,0.335675111040473
2,159,0.32911606528796256
2,24,0.31567052099853754
2,33,0.2864719780627638
2,12,0.27110335626639426
2,23,0.26953019201755524
2,101,0.24319782457314432
2,53,0.23283288115635514
2,132,0.23081779852509499
2,21,0.22542379214428365
2,16,0.20172844384796917
2,80,0.1986451018601656
2,179,0.18666838365606964
2,54,0.17635907931253314
2,77,0.17247173632495105
2,13,0.17245649453252554
2,74,0.16647233022376895
2,97,0.16238022060133517
2,31,0.16137083037756383
2,65,0.15227435145061463
2,84,0.15053225867450237
2,143,0.15007638605311513
2,160,0.14957139594480395
2,165,0.14086116082035005
2,90,0.13912541209720075
2,22,0.13105178624391556
2,186,0.12199094542302191
2,46,0.12160897813737392
2,122,0.12070141825824976
2,60,0.10870896209962666
2,198,0.10013258690014482
2,26,0.09843516862019897
2,44,0.09144219383597374
2,119,0.08829357987269759
2,71,0.07086209254339337
2,17,0.06845341064035892
2,150,0.0651493463665247
2,140,0.06486629322171211
2,152,0.0633237847359851
2,41,0.06288469792343676
2,81,0.05084420321509242
2,148,0.048527142498642206
2,32,0.04160936549305916
2,144,0.04012207640334964
2,88,0.035009380197152495
2,192,0.021263221744447947
2,14,0.019329315982759
2,98,0.013101755175739527
2,123,0.012233040062710643
2,82,0.009178798645734787
2,187,0.008697268087416887
2,115,0.007772471522912383
2,125,0.004635147284716368
2,138,0.0043425047770142555
2,162,0.0037302670534700155
2,104,0.0026492616161704063
