fold,feature,drop
1,topic:37,29.02610889542848
1,topic:70,25.202838841825724
1,topic:111,24.82008815649897
1,topic:129,23.38152147643268
1,topic:185,22.23514891322702
1,topic:146,17.186164531856775
1,topic:171,13.878254476934671
1,topic:15,12.26782606029883
1,topic:199,9.497256881557405
1,topic:1,8.273481016978621
1,topic:40,8.261765922885388
1,topic:92,6.955369427334517
1,topic:75,6.513647640123963
1,topic:7,6.485984221100807
1,topic:127,6.485276977531612
1,topic:93,6.215560300275683
1,topic:113,6.098595429211855
1,topic:18,6.097474385052919
1,topic:76,5.966907315887511
1,topic:38,5.347482758574188
1,topic:39,5.063232708256692
1,topic:29,4.831216441467404
1,topic:27,4.664383972063661
1,topic:163,4.547113697044551
1,topic:153,4.237696605734527
1,topic:89,4.165426907129586
1,topic:51,3.995326306670904
1,topic:189,3.803700065240264
1,topic:105,3.7853186894208193
1,topic:149,3.769024067558348
1,topic:107,3.7445477228611708
1,topic:72,3.5509235356003046
1,topic:83,3.509180356748402
1,topic:133,3.486459406092763
1,topic:116,3.224758880212903
1,topic:181,3.1294050673022866
1,topic:48,2.9748358046635985
1,topic:184,2.9381495462730527
1,topic:154,2.8717357395216823
1,topic:34,2.851279653608799
1,topic:102,2.785755293443799
1,topic:193,2.6648801919072866
1,topic:91,2.5688751731067896
1,topic:161,2.446008540689945
1,topic:50,2.4454165687784553
1,topic:103,2.39280288759619
1,topic:87,2.3598037753254175
1,topic:135,2.335967918857932
1,topic:65,2.326042937114835
1,topic:99,2.3051713490858674
1,topic:96,2.2772773522883654
1,topic:190,2.1997024714946747
1,topic:68,2.1909229243174195
1,topic:126,2.1541163912042975
1,topic:164,2.1341833621263504
1,topic:61,2.1233134791254997
1,topic:21,2.0700175538659096
1,topic:182,2.0358056658878922
1,topic:128,2.006854393519461
1,topic:176,1.7977259252220392
1,topic:20,1.7249611373990774
1,topic:110,1.686320573091507
1,topic:156,1.5769078666344285
1,topic:64,1.5696720350533724
1,topic:49,1.4966243971139193
1,topic:134,1.4875170392915606
1,topic:187,1.4668247699737549
1,topic:109,1.4564907746389508
1,topic:33,1.430733421817422
1,topic:79,1.3985075745731592
1,topic:85,1.3922314159572124
