feature,n_folds,selected_frac,sign_consistency,mean_abs_drop,mean_drop,majority_sign,score
topic:146,5,1.0,0.8,0.1345477936153941,0.11696030177616548,1,0.10763823489231528
topic:129,5,1.0,0.8,0.07187968382540262,0.06007898452470328,1,0.0575037470603221
topic:70,5,1.0,0.8,0.060960186310791434,0.037349075199680316,1,0.04876814904863315
topic:1,5,1.0,1.0,0.04158494743555258,0.04158494743555258,1,0.04158494743555258
topic:185,5,1.0,0.8,0.05035272167925211,0.049307830038385236,1,0.04028217734340169
topic:15,5,1.0,0.8,0.043045382464943424,0.02950591060762624,1,0.03443630597195474
topic:37,5,1.0,0.8,0.03542890440104869,0.010882242351156623,-1,0.028343123520838953
topic:29,3,0.6,1.0,0.04185407319426745,0.04185407319426745,1,0.025112443916560468
topic:93,5,1.0,1.0,0.02224714634775149,0.02224714634775149,1,0.02224714634775149
topic:92,5,1.0,0.8,0.027165900480080628,0.026121008839213755,1,0.021732720384064503
topic:40,3,0.6,1.0,0.02934533175976924,0.02934533175976924,1,0.01760719905586154
topic:163,3,0.6,1.0,0.02130663505663503,0.02130663505663503,1,0.012783981033981017
