feature,n_folds,selected_frac,sign_consistency,mean_abs_drop,mean_drop,majority_sign,score
topic:146,5,1.0,0.8,0.1345477936153941,0.11696030177616548,1,0.10763823489231528
topic:171,5,1.0,0.6,0.09786030902925089,0.06889247448001788,1,0.058716185417550526
topic:129,5,1.0,0.8,0.07187968382540262,0.06007898452470328,1,0.0575037470603221
topic:70,5,1.0,0.8,0.060960186310791434,0.037349075199680316,1,0.04876814904863315
topic:1,5,1.0,1.0,0.04158494743555258,0.04158494743555258,1,0.04158494743555258
topic:185,5,1.0,0.8,0.05035272167925211,0.049307830038385236,1,0.04028217734340169
topic:15,5,1.0,0.8,0.043045382464943424,0.02950591060762624,1,0.03443630597195474
topic:37,5,1.0,0.8,0.03542890440104869,0.010882242351156623,-1,0.028343123520838953
topic:29,3,0.6,1.0,0.04185407319426745,0.04185407319426745,1,0.025112443916560468
topic:93,5,1.0,1.0,0.02224714634775149,0.02224714634775149,1,0.02224714634775149
topic:92,5,1.0,0.8,0.027165900480080628,0.026121008839213755,1,0.021732720384064503
topic:127,4,0.8,0.75,0.030330363798511534,0.015579489672637364,1,0.018198218279106924
topic:18,4,0.8,0.75,0.029402646838474933,0.006567691938302644,1,0.017641588103084964
topic:40,3,0.6,1.0,0.02934533175976924,0.02934533175976924,1,0.01760719905586154
topic:199,5,1.0,0.6,0.026119132379419586,0.02324318430482124,1,0.01567147942765175
topic:111,5,1.0,0.6,0.02291598308017906,-0.0049643713246819935,-1,0.013749589848107435
topic:163,3,0.6,1.0,0.02130663505663503,0.02130663505663503,1,0.012783981033981017
topic:75,2,0.4,1.0,0.02568320742986363,0.02568320742986363,1,0.010273282971945453
topic:83,1,0.2,1.0,0.04640468227424743,0.04640468227424743,1,0.009280936454849486
topic:39,3,0.6,0.6666666666666666,0.021206503949334692,-0.005674589055717642,1,0.008482601579733877
topic:99,1,0.2,1.0,0.0403216395075785,-0.0403216395075785,-1,0.0080643279015157
topic:76,2,0.4,0.5,0.03526544247572788,-0.01538641308698524,1,0.007053088495145576
topic:113,3,0.6,0.6666666666666666,0.01577097366432667,0.0012530231885451437,-1,0.006308389465730668
topic:27,1,0.2,1.0,0.02644230769230771,0.02644230769230771,1,0.005288461538461542
topic:38,1,0.2,1.0,0.02553599527930772,0.02553599527930772,1,0.005107199055861544
topic:189,2,0.4,1.0,0.011648936170212787,0.011648936170212787,1,0.004659574468085115
topic:7,2,0.4,1.0,0.011648936170212787,0.011648936170212787,1,0.004659574468085115
topic:153,1,0.2,1.0,0.01987902938874264,0.01987902938874264,1,0.003975805877748528
topic:50,1,0.2,1.0,0.017735887301104758,0.017735887301104758,1,0.003547177460220952
topic:133,1,0.2,1.0,0.0,0.0,1,0.0
topic:182,1,0.2,1.0,0.0,0.0,1,0.0
topic:48,1,0.2,1.0,0.0,0.0,1,0.0
