fold,feature,drop
1,topic:70,8.718641574727371
1,topic:37,7.588461915496737
1,topic:129,7.273928511654958
1,topic:185,6.589835365768522
1,topic:146,6.1947658059652895
1,topic:111,5.498506367672235
1,topic:199,3.8228519400581717
1,topic:171,3.1512545165605843
1,topic:15,2.999543187674135
1,topic:1,2.0035903393290937
1,topic:93,1.6540021365508437
1,topic:92,1.6198743744753301
1,topic:75,1.5371670085005462
1,topic:127,1.5330236963927746
1,topic:29,1.4745518849231303
1,topic:149,1.3862557113170624
1,topic:163,1.2737222372088581
1,topic:99,1.261221859836951
1,topic:113,1.1632959595881402
1,topic:189,1.1575782622676343
1,topic:50,1.1409625774249434
1,topic:141,1.1197778740897775
1,topic:27,1.110323108965531
1,topic:39,1.0984742797445506
1,topic:154,1.0600202581845224
1,topic:40,1.0214492324739695
1,topic:18,0.9959149272181094
1,topic:133,0.955592161975801
1,topic:131,0.9484500763937831
1,topic:48,0.913773444481194
1,topic:190,0.9025591257959604
1,topic:102,0.8853813465684652
1,topic:89,0.8403747514821589
1,topic:72,0.8344819517806172
1,topic:38,0.8310533682815731
1,topic:184,0.8021879340521991
1,topic:134,0.7840607184916735
1,topic:153,0.7766325902193785
1,topic:87,0.7349452371709049
1,topic:36,0.726533267647028
1,topic:126,0.709514700807631
1,topic:181,0.7085921536199749
1,topic:76,0.6655033980496228
1,topic:7,0.6371106561273336
1,topic:83,0.6361438944004476
1,topic:85,0.634119026362896
1,topic:107,0.5984255997464061
1,topic:109,0.5940679498016834
1,topic:61,0.5747968046925962
1,topic:116,0.5695332018658519
1,topic:135,0.5545341116376221
1,topic:34,0.5197358820587397
1,topic:128,0.4907802320085466
1,topic:176,0.4846519371494651
1,topic:156,0.4629921456798911
1,topic:68,0.4363606167025864
1,topic:136,0.41850104788318276
1,topic:91,0.4124492227565497
1,topic:195,0.40815560705959797
1,topic:25,0.40815463848412037
1,topic:139,0.40692356089130044
1,topic:79,0.40140858851373196
1,topic:64,0.3916677972301841
1,topic:182,0.39017204148694873
