fold,family,P_macro,R_macro,F1_macro
1,Users,0.5875,0.586687306501548,0.583011583011583
1,Message,0.6656346749226006,0.6656346749226006,0.6656346749226006
1,Fusion,0.6130030959752322,0.6130030959752322,0.6111111111111112
2,Users,0.7904761904761906,0.78328173374613,0.7770897832817337
2,Message,0.4380952380952381,0.4396284829721362,0.4375
2,Fusion,0.5541795665634675,0.5541795665634675,0.5541795665634675
3,Users,0.6836363636363636,0.6563467492260062,0.6493506493506493
3,Message,0.36038961038961037,0.3668730650154799,0.35664335664335667
3,Fusion,0.698051948051948,0.6888544891640866,0.6884343036978757
4,Users,0.6130030959752322,0.6130030959752322,0.6111111111111112
4,Message,0.46875,0.46904024767801855,0.46853146853146854
4,Fusion,0.609907120743034,0.609907120743034,0.609907120743034
5,Users,0.5643939393939394,0.555921052631579,0.5478036175710594
5,Message,0.44675925925925924,0.4621710526315789,0.42934782608695654
5,Fusion,0.6594202898550725,0.6447368421052632,0.6428571428571428
