fold,arm,P,R,F1
1,text,0.554945055,0.536764706,0.499494439
1,user,0.50862069,0.503676471,0.426086957
1,fusion,0.472222222,0.477941176,0.452682927
2,text,0.229468599,0.28125,0.245128205
2,user,0.766666667,0.5625,0.458937198
2,fusion,0.402834008,0.40625,0.400985222
3,text,0.408333333,0.41372549,0.400985222
3,user,0.390804598,0.462745098,0.345454545
3,fusion,0.783333333,0.566666667,0.479349186
4,text,0.340740741,0.415686275,0.345454545
4,user,0.5625,0.547058824,0.507692308
4,fusion,0.314102564,0.38627451,0.326688815
5,text,0.621794872,0.574509804,0.5393134
5,user,0.767857143,0.617647059,0.5393134
5,fusion,0.517857143,0.507843137,0.438596491
Arm,Precision (P),Recall (R),F1,
Text,0.4311 ± 0.1589,0.4444 ± 0.1160,0.4061 ± 0.1184,
User,0.5993 ± 0.1654,0.5387 ± 0.0589,0.4555 ± 0.0754,
Fusion,0.4981 ± 0.1770,0.4690 ± 0.0740,0.4197 ± 0.0592,
