fold,arm,P,R,F1
1,text,0.642857143,0.632352941,0.627819549
1,user,0.605555556,0.604779412,0.604608295
1,fusion,0.422619048,0.428308824,0.415657036
2,text,0.3,0.3125,0.301587302
2,user,0.880952381,0.84375,0.83983984
2,fusion,0.273279352,0.28125,0.274876847
3,text,0.493927126,0.494117647,0.492063492
3,user,0.604166667,0.578431373,0.558854719
3,fusion,0.525,0.523529412,0.51951952
4,text,0.435294118,0.435294118,0.435294118
4,user,0.46875,0.468627451,0.468230694
4,fusion,0.541666667,0.539215686,0.527093596
5,text,0.41991342,0.42745098,0.417004049
5,user,0.591269841,0.590196078,0.590147783
5,fusion,0.41991342,0.42745098,0.417004049
Arm,Precision (P),Recall (R),F1,
Text,0.4584 ± 0.1249,0.4603 ± 0.1165,0.4548 ± 0.1190,
User,0.6301 ± 0.1514,0.6172 ± 0.1376,0.6123 ± 0.1378,
Fusion,0.4365 ± 0.1072,0.4400 ± 0.1029,0.4308 ± 0.1023,
