fold,arm,P,R,F1
1,text,0.783333333,0.59375,0.519596865
1,user,0.605555556,0.604779412,0.604608295
1,fusion,0.774193548,0.5625,0.465277778
2,text,0.538647343,0.53125,0.507692308
2,user,0.758064516,0.53125,0.399249061
2,fusion,0.33805668,0.34375,0.337931034
3,text,0.577777778,0.541176471,0.490909091
3,user,0.516666667,0.503921569,0.399249061
3,fusion,0.506072874,0.505882353,0.498039216
4,text,0.45,0.456862745,0.442051282
4,user,0.621794872,0.574509804,0.5393134
4,fusion,0.376518219,0.380392157,0.37254902
5,text,0.45,0.456862745,0.442051282
5,user,0.62745098,0.62745098,0.625
5,fusion,0.382857143,0.419607843,0.376623377
Arm,Precision (P),Recall (R),F1,
Text,0.5600 ± 0.1368,0.5160 ± 0.0590,0.4805 ± 0.0365,
User,0.6259 ± 0.0864,0.5684 ± 0.0510,0.5135 ± 0.1090,
Fusion,0.4755 ± 0.1785,0.4424 ± 0.0902,0.4101 ± 0.0680,
