fold,family,P,R,F1
1,BERT (H),0.6666666666666667,0.6486068111455108,0.6317859952793077
2,BERT (H),0.4872727272727273,0.4891640866873065,0.474025974025974
3,BERT (H),0.7244582043343653,0.7244582043343653,0.7222222222222222
4,BERT (H),0.4375,0.456656346749226,0.4178723404255319
5,BERT (H),0.4057971014492754,0.4144736842105263,0.40476190476190477
